label,model,setting,n_examples_published_full400,lcata@2_published_full400,lcata@4_published_full400,lcata@7_published_full400,n_examples_preview,lcata@2_preview,lcata@4_preview,lcata@7_preview,delta@2,delta@4,delta@7
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,400,47.75,16.75,3.5,148,48.65,14.19,3.38,0.9,-2.56,-0.12
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,400,71.25,57.0,46.5,148,75.0,64.86,54.05,3.75,7.86,7.55
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,400,7.5,1.0,0.0,148,8.11,2.03,0.0,0.61,1.03,0.0
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,400,59.5,49.0,35.0,148,60.14,53.38,37.16,0.64,4.38,2.16
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,400,38.25,22.5,11.5,148,38.51,25.0,12.84,0.26,2.5,1.34
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,400,71.0,62.0,55.5,148,75.68,70.27,68.24,4.68,8.27,12.74
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,400,33.25,11.75,4.75,148,32.43,10.81,6.76,-0.82,-0.94,2.01
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,400,70.0,57.5,48.5,148,75.68,66.22,58.78,5.68,8.72,10.28
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,400,65.5,39.0,18.25,148,75.0,43.92,22.3,9.5,4.92,4.05
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,400,82.25,73.0,65.0,148,87.16,83.78,79.73,4.91,10.78,14.73
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,400,59.5,20.25,5.0,148,66.89,26.35,6.76,7.39,6.1,1.76
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,400,71.0,52.5,37.0,148,81.76,68.92,50.68,10.76,16.42,13.68
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,400,52.0,25.0,7.0,148,67.57,33.78,12.16,15.57,8.78,5.16
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,400,79.0,71.75,65.0,148,91.89,88.51,83.11,12.89,16.76,18.11
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,400,51.75,30.5,15.25,148,59.46,37.16,18.92,7.71,6.66,3.67
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,400,67.25,55.5,47.5,148,71.62,63.51,58.11,4.37,8.01,10.61
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,400,26.25,8.0,3.0,148,31.76,8.11,3.38,5.51,0.11,0.38
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,400,58.25,44.5,34.25,148,62.84,48.65,41.22,4.59,4.15,6.97
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,400,73.25,54.75,40.25,148,80.41,64.86,52.7,7.16,10.11,12.45
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,implicit,400,79.5,67.75,54.0,148,84.46,74.32,59.46,4.96,6.57,5.46
