label,model,setting,turn_index,acc,slice
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,5,70.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,6,71.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,7,68.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,1,63.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,2,48.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,3,41.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,4,42.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,5,42.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,6,36.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,7,44.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,1,81.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,2,81.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,3,80.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,4,84.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,5,86.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,6,86.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,7,85.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,1,67.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,2,67.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,3,56.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,4,52.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,5,54.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,6,49.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,explicit,7,53.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,1,81.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,2,84.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,3,85.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,4,85.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,5,87.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,6,90.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-4.1-mini,implicit,7,87.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,1,37.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,2,17.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,3,15.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,4,12.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,5,13.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,6,12.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,explicit,7,15.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,1,69.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,2,79.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,3,82.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,4,83.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,5,83.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,6,85.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-5-nano,implicit,7,83.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,1,61.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,2,60.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,3,63.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,4,66.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,5,67.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,6,68.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,explicit,7,63.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,1,79.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,2,86.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,3,87.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,4,89.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,5,88.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,6,94.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-120b,implicit,7,91.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,1,58.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,2,55.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,3,45.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,4,47.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,5,48.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,6,43.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,explicit,7,44.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,1,79.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,2,84.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,3,84.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,4,89.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,5,88.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,6,91.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",openai/gpt-oss-20b,implicit,7,90.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,1,83.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,2,76.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,3,68.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,4,65.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,5,61.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,6,61.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,explicit,7,60.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,1,89.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,2,90.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,3,91.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,4,89.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,5,90.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,6,91.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-235b-a22b-2507,implicit,7,91.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,1,80.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,2,66.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,3,52.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,4,45.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,5,37.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,6,32.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,explicit,7,29.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,1,83.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,2,77.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,3,78.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,4,72.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,5,72.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,6,71.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b,implicit,7,67.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,1,79.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,2,60.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,3,55.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,4,45.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,5,42.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,6,36.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,explicit,7,48.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,1,89.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,2,85.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,3,87.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,4,85.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,5,85.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,6,84.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-30b-a3b-thinking-2507,implicit,7,87.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,1,71.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,2,68.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,3,68.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,4,70.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,5,72.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,6,71.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,explicit,7,74.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,1,77.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,2,86.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,3,86.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,4,86.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,5,90.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,6,93.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder,implicit,7,88.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,1,52.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,2,46.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,3,42.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,4,44.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,5,43.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,6,38.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,explicit,7,46.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,1,71.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,2,76.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,3,79.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,4,82.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,5,84.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,6,84.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",qwen/qwen3-coder-30b-a3b-instruct,implicit,7,84.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,1,85.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,2,84.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,3,83.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,4,83.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,5,81.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,6,82.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,explicit,7,81.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,implicit,1,89.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,implicit,2,86.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,implicit,3,88.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,implicit,4,86.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,implicit,5,86.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,implicit,6,89.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",x-ai/grok-code-fast-1,implicit,7,87.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,1,81.76,preview_valid148
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,2,87.84,preview_valid148
