model,track,n_turns,n_parse_fail,parse_fail_pct
google/gemma-3-4b-it,implicit_no_correction,2800,0,0.0
google/gemma-3-4b-it,implicit_no_reasoning,2800,0,0.0
google/gemma-3-4b-it,implicit_no_reasoning_no_correction,2800,0,0.0
moonshotai/kimi-k2-0905,explicit,2800,7,0.25
moonshotai/kimi-k2-0905,explicit_no_correction,2800,1,0.04
moonshotai/kimi-k2-0905,explicit_no_reasoning,2800,10,0.36
moonshotai/kimi-k2-0905,explicit_no_reasoning_no_correction,2800,7,0.25
moonshotai/kimi-k2-0905,implicit,2800,2,0.07
moonshotai/kimi-k2-0905,implicit_no_correction,2800,3,0.11
moonshotai/kimi-k2-0905,implicit_no_reasoning,2800,3,0.11
moonshotai/kimi-k2-0905,implicit_no_reasoning_no_correction,2800,5,0.18
openai/gpt-4.1-mini,explicit,2800,0,0.0
openai/gpt-4.1-mini,explicit_no_correction,2800,0,0.0
openai/gpt-4.1-mini,explicit_no_reasoning,2800,0,0.0
openai/gpt-4.1-mini,explicit_no_reasoning_no_correction,2800,0,0.0
openai/gpt-4.1-mini,implicit,2800,0,0.0
openai/gpt-4.1-mini,implicit_no_correction,2800,0,0.0
openai/gpt-4.1-mini,implicit_no_reasoning,2800,0,0.0
openai/gpt-4.1-mini,implicit_no_reasoning_no_correction,2800,0,0.0
openai/gpt-5-nano,explicit,2800,2,0.07
openai/gpt-5-nano,explicit_no_correction,2800,5,0.18
openai/gpt-5-nano,explicit_no_reasoning,2800,2,0.07
openai/gpt-5-nano,explicit_no_reasoning_no_correction,2800,1,0.04
openai/gpt-5-nano,implicit,2800,1,0.04
openai/gpt-5-nano,implicit_no_correction,2800,4,0.14
openai/gpt-5-nano,implicit_no_reasoning,2800,3,0.11
openai/gpt-5-nano,implicit_no_reasoning_no_correction,2800,2,0.07
openai/gpt-oss-120b,explicit,2800,4,0.14
openai/gpt-oss-120b,explicit_no_correction,2800,14,0.5
openai/gpt-oss-120b,explicit_no_reasoning,2800,3,0.11
openai/gpt-oss-120b,explicit_no_reasoning_no_correction,2800,1,0.04
openai/gpt-oss-120b,implicit,2800,2,0.07
openai/gpt-oss-120b,implicit_no_correction,2800,1,0.04
openai/gpt-oss-120b,implicit_no_reasoning,2800,1,0.04
openai/gpt-oss-120b,implicit_no_reasoning_no_correction,2800,0,0.0
openai/gpt-oss-20b,explicit,2800,3,0.11
openai/gpt-oss-20b,explicit_no_correction,2800,6,0.21
openai/gpt-oss-20b,explicit_no_reasoning,2800,9,0.32
openai/gpt-oss-20b,explicit_no_reasoning_no_correction,2800,6,0.21
openai/gpt-oss-20b,implicit,2800,2,0.07
openai/gpt-oss-20b,implicit_no_correction,2800,2,0.07
openai/gpt-oss-20b,implicit_no_reasoning,2800,7,0.25
openai/gpt-oss-20b,implicit_no_reasoning_no_correction,2800,8,0.29
qwen/qwen-2.5-coder-32b-instruct,explicit,2800,7,0.25
qwen/qwen-2.5-coder-32b-instruct,explicit_no_correction,2800,38,1.36
qwen/qwen-2.5-coder-32b-instruct,explicit_no_reasoning,2800,34,1.21
qwen/qwen-2.5-coder-32b-instruct,explicit_no_reasoning_no_correction,2800,1109,39.61
qwen/qwen-2.5-coder-32b-instruct,implicit,2800,7,0.25
qwen/qwen-2.5-coder-32b-instruct,implicit_no_correction,2800,105,3.75
qwen/qwen-2.5-coder-32b-instruct,implicit_no_reasoning,2800,34,1.21
qwen/qwen-2.5-coder-32b-instruct,implicit_no_reasoning_no_correction,2800,376,13.43
qwen/qwen3-235b-a22b-2507,explicit,2800,0,0.0
qwen/qwen3-235b-a22b-2507,explicit_no_correction,2800,0,0.0
qwen/qwen3-235b-a22b-2507,explicit_no_reasoning,2800,0,0.0
qwen/qwen3-235b-a22b-2507,explicit_no_reasoning_no_correction,2800,0,0.0
qwen/qwen3-235b-a22b-2507,implicit,2800,0,0.0
qwen/qwen3-235b-a22b-2507,implicit_no_correction,2800,0,0.0
qwen/qwen3-235b-a22b-2507,implicit_no_reasoning,2800,0,0.0
qwen/qwen3-235b-a22b-2507,implicit_no_reasoning_no_correction,2800,0,0.0
qwen/qwen3-235b-a22b-thinking-2507,explicit,2800,2061,73.61
qwen/qwen3-235b-a22b-thinking-2507,explicit_no_correction,2800,2014,71.93
qwen/qwen3-235b-a22b-thinking-2507,explicit_no_reasoning,2800,2159,77.11
qwen/qwen3-235b-a22b-thinking-2507,explicit_no_reasoning_no_correction,2800,2028,72.43
qwen/qwen3-235b-a22b-thinking-2507,implicit,2800,1074,38.36
qwen/qwen3-235b-a22b-thinking-2507,implicit_no_correction,2800,1012,36.14
qwen/qwen3-235b-a22b-thinking-2507,implicit_no_reasoning,2800,1146,40.93
qwen/qwen3-235b-a22b-thinking-2507,implicit_no_reasoning_no_correction,2800,1081,38.61
qwen/qwen3-30b-a3b,explicit,2800,63,2.25
qwen/qwen3-30b-a3b,explicit_no_correction,2800,2,0.07
qwen/qwen3-30b-a3b,explicit_no_reasoning,2800,45,1.61
qwen/qwen3-30b-a3b,explicit_no_reasoning_no_correction,2800,3,0.11
qwen/qwen3-30b-a3b,implicit,2800,2,0.07
qwen/qwen3-30b-a3b,implicit_no_correction,2800,0,0.0
qwen/qwen3-30b-a3b,implicit_no_reasoning,2800,2,0.07
qwen/qwen3-30b-a3b,implicit_no_reasoning_no_correction,2800,1,0.04
qwen/qwen3-30b-a3b-thinking-2507,explicit,2800,0,0.0
qwen/qwen3-30b-a3b-thinking-2507,explicit_no_correction,2800,0,0.0
qwen/qwen3-30b-a3b-thinking-2507,explicit_no_reasoning,2800,0,0.0
qwen/qwen3-30b-a3b-thinking-2507,explicit_no_reasoning_no_correction,2800,0,0.0
qwen/qwen3-30b-a3b-thinking-2507,implicit,2800,0,0.0
qwen/qwen3-30b-a3b-thinking-2507,implicit_no_correction,2800,0,0.0
qwen/qwen3-30b-a3b-thinking-2507,implicit_no_reasoning,2800,1,0.04
qwen/qwen3-30b-a3b-thinking-2507,implicit_no_reasoning_no_correction,2800,0,0.0
qwen/qwen3-coder,explicit,2800,1,0.04
qwen/qwen3-coder,explicit_no_correction,2800,0,0.0
qwen/qwen3-coder,explicit_no_reasoning,2800,0,0.0
qwen/qwen3-coder,explicit_no_reasoning_no_correction,2800,0,0.0
qwen/qwen3-coder,implicit,2800,0,0.0
qwen/qwen3-coder,implicit_no_correction,2800,0,0.0
qwen/qwen3-coder,implicit_no_reasoning,2800,0,0.0
qwen/qwen3-coder,implicit_no_reasoning_no_correction,2800,0,0.0
qwen/qwen3-coder-30b-a3b-instruct,explicit,2800,0,0.0
qwen/qwen3-coder-30b-a3b-instruct,explicit_no_correction,2800,0,0.0
qwen/qwen3-coder-30b-a3b-instruct,explicit_no_reasoning,2800,0,0.0
qwen/qwen3-coder-30b-a3b-instruct,explicit_no_reasoning_no_correction,2800,0,0.0
qwen/qwen3-coder-30b-a3b-instruct,implicit,2800,0,0.0
qwen/qwen3-coder-30b-a3b-instruct,implicit_no_correction,2800,1,0.04
qwen/qwen3-coder-30b-a3b-instruct,implicit_no_reasoning,2800,0,0.0
qwen/qwen3-coder-30b-a3b-instruct,implicit_no_reasoning_no_correction,2800,0,0.0
x-ai/grok-code-fast-1,explicit,2800,17,0.61
x-ai/grok-code-fast-1,explicit_no_correction,2800,12,0.43
x-ai/grok-code-fast-1,explicit_no_reasoning,2800,4,0.14
x-ai/grok-code-fast-1,explicit_no_reasoning_no_correction,2800,8,0.29
x-ai/grok-code-fast-1,implicit,2800,17,0.61
x-ai/grok-code-fast-1,implicit_no_correction,2800,16,0.57
x-ai/grok-code-fast-1,implicit_no_reasoning,2800,5,0.18
x-ai/grok-code-fast-1,implicit_no_reasoning_no_correction,2800,9,0.32
