model,setting,edit_class,answer_changed,autopsy,n,share
google/gemma-3-27b-it,implicit,add_only,False,spurious_flip,68,0.5965
google/gemma-3-27b-it,implicit,add_only,False,spurious_to_uncertain,46,0.4035
google/gemma-3-27b-it,implicit,add_only,True,stale,8,0.7273
google/gemma-3-27b-it,implicit,add_only,True,uncertain_retreat,3,0.2727
google/gemma-3-27b-it,implicit,removal,False,spurious_flip,21,0.3889
google/gemma-3-27b-it,implicit,removal,False,spurious_to_uncertain,33,0.6111
google/gemma-3-27b-it,implicit,removal,True,stale,101,0.4372
google/gemma-3-27b-it,implicit,removal,True,uncertain_retreat,130,0.5628
google/gemma-3-4b-it,explicit,add_only,False,spurious_flip,115,0.2861
google/gemma-3-4b-it,explicit,add_only,False,spurious_to_uncertain,287,0.7139
google/gemma-3-4b-it,explicit,add_only,True,stale,5,0.4167
google/gemma-3-4b-it,explicit,add_only,True,uncertain_retreat,7,0.5833
google/gemma-3-4b-it,explicit,removal,False,spurious_flip,87,0.3955
google/gemma-3-4b-it,explicit,removal,False,spurious_to_uncertain,133,0.6045
google/gemma-3-4b-it,explicit,removal,True,stale,185,0.2859
google/gemma-3-4b-it,explicit,removal,True,uncertain_retreat,462,0.7141
google/gemma-3-4b-it,implicit,add_only,False,spurious_flip,180,0.8411
google/gemma-3-4b-it,implicit,add_only,False,spurious_to_uncertain,34,0.1589
google/gemma-3-4b-it,implicit,add_only,True,stale,10,0.9091
google/gemma-3-4b-it,implicit,add_only,True,uncertain_retreat,1,0.0909
google/gemma-3-4b-it,implicit,removal,False,spurious_flip,97,0.7886
google/gemma-3-4b-it,implicit,removal,False,spurious_to_uncertain,26,0.2114
google/gemma-3-4b-it,implicit,removal,True,stale,370,0.8706
google/gemma-3-4b-it,implicit,removal,True,uncertain_retreat,55,0.1294
moonshotai/kimi-k2-0905,explicit,add_only,False,other_invariant,1,0.0025
moonshotai/kimi-k2-0905,explicit,add_only,False,spurious_flip,34,0.0846
moonshotai/kimi-k2-0905,explicit,add_only,False,spurious_to_uncertain,367,0.9129
moonshotai/kimi-k2-0905,explicit,add_only,True,stale,3,0.25
moonshotai/kimi-k2-0905,explicit,add_only,True,uncertain_retreat,9,0.75
moonshotai/kimi-k2-0905,explicit,removal,False,other_invariant,3,0.0146
moonshotai/kimi-k2-0905,explicit,removal,False,spurious_flip,22,0.1073
moonshotai/kimi-k2-0905,explicit,removal,False,spurious_to_uncertain,180,0.878
moonshotai/kimi-k2-0905,explicit,removal,True,other_changed,3,0.0051
moonshotai/kimi-k2-0905,explicit,removal,True,stale,37,0.0627
moonshotai/kimi-k2-0905,explicit,removal,True,uncertain_retreat,550,0.9322
moonshotai/kimi-k2-0905,implicit,add_only,False,other_invariant,1,0.0105
moonshotai/kimi-k2-0905,implicit,add_only,False,spurious_flip,34,0.3579
moonshotai/kimi-k2-0905,implicit,add_only,False,spurious_to_uncertain,60,0.6316
moonshotai/kimi-k2-0905,implicit,add_only,True,stale,7,0.6364
moonshotai/kimi-k2-0905,implicit,add_only,True,uncertain_retreat,4,0.3636
moonshotai/kimi-k2-0905,implicit,removal,False,other_invariant,1,0.0213
moonshotai/kimi-k2-0905,implicit,removal,False,spurious_flip,11,0.234
moonshotai/kimi-k2-0905,implicit,removal,False,spurious_to_uncertain,35,0.7447
moonshotai/kimi-k2-0905,implicit,removal,True,other_changed,3,0.0135
moonshotai/kimi-k2-0905,implicit,removal,True,stale,64,0.287
moonshotai/kimi-k2-0905,implicit,removal,True,uncertain_retreat,156,0.6996
openai/gpt-4.1-mini,explicit,add_only,False,spurious_flip,53,0.1582
openai/gpt-4.1-mini,explicit,add_only,False,spurious_to_uncertain,282,0.8418
openai/gpt-4.1-mini,explicit,add_only,True,stale,6,0.4615
openai/gpt-4.1-mini,explicit,add_only,True,uncertain_retreat,7,0.5385
openai/gpt-4.1-mini,explicit,removal,False,spurious_flip,31,0.1751
openai/gpt-4.1-mini,explicit,removal,False,spurious_to_uncertain,146,0.8249
openai/gpt-4.1-mini,explicit,removal,True,stale,70,0.1632
openai/gpt-4.1-mini,explicit,removal,True,uncertain_retreat,359,0.8368
openai/gpt-4.1-mini,implicit,add_only,False,spurious_flip,57,0.7125
openai/gpt-4.1-mini,implicit,add_only,False,spurious_to_uncertain,23,0.2875
openai/gpt-4.1-mini,implicit,add_only,True,stale,7,0.6364
openai/gpt-4.1-mini,implicit,add_only,True,uncertain_retreat,4,0.3636
openai/gpt-4.1-mini,implicit,removal,False,spurious_flip,32,0.6809
openai/gpt-4.1-mini,implicit,removal,False,spurious_to_uncertain,15,0.3191
openai/gpt-4.1-mini,implicit,removal,True,stale,85,0.4208
openai/gpt-4.1-mini,implicit,removal,True,uncertain_retreat,117,0.5792
openai/gpt-5-nano,explicit,add_only,False,spurious_flip,13,0.0234
openai/gpt-5-nano,explicit,add_only,False,spurious_to_uncertain,542,0.9766
openai/gpt-5-nano,explicit,add_only,True,uncertain_retreat,16,1.0
openai/gpt-5-nano,explicit,removal,False,spurious_flip,6,0.0201
openai/gpt-5-nano,explicit,removal,False,spurious_to_uncertain,292,0.9799
openai/gpt-5-nano,explicit,removal,True,stale,14,0.0138
openai/gpt-5-nano,explicit,removal,True,uncertain_retreat,997,0.9862
openai/gpt-5-nano,implicit,add_only,False,other_invariant,2,0.0192
openai/gpt-5-nano,implicit,add_only,False,spurious_flip,24,0.2308
openai/gpt-5-nano,implicit,add_only,False,spurious_to_uncertain,78,0.75
openai/gpt-5-nano,implicit,add_only,True,stale,5,0.4167
openai/gpt-5-nano,implicit,add_only,True,uncertain_retreat,7,0.5833
openai/gpt-5-nano,implicit,removal,False,spurious_flip,11,0.1833
openai/gpt-5-nano,implicit,removal,False,spurious_to_uncertain,49,0.8167
openai/gpt-5-nano,implicit,removal,True,stale,121,0.4745
openai/gpt-5-nano,implicit,removal,True,uncertain_retreat,134,0.5255
openai/gpt-oss-120b,explicit,add_only,False,spurious_flip,18,0.0744
openai/gpt-oss-120b,explicit,add_only,False,spurious_to_uncertain,224,0.9256
openai/gpt-oss-120b,explicit,add_only,True,stale,9,0.75
openai/gpt-oss-120b,explicit,add_only,True,uncertain_retreat,3,0.25
openai/gpt-oss-120b,explicit,removal,False,spurious_flip,19,0.1284
openai/gpt-oss-120b,explicit,removal,False,spurious_to_uncertain,129,0.8716
openai/gpt-oss-120b,explicit,removal,True,other_changed,1,0.0027
openai/gpt-oss-120b,explicit,removal,True,stale,51,0.1356
openai/gpt-oss-120b,explicit,removal,True,uncertain_retreat,324,0.8617
openai/gpt-oss-120b,implicit,add_only,False,spurious_flip,15,0.2308
openai/gpt-oss-120b,implicit,add_only,False,spurious_to_uncertain,50,0.7692
openai/gpt-oss-120b,implicit,add_only,True,stale,5,0.4545
openai/gpt-oss-120b,implicit,add_only,True,uncertain_retreat,6,0.5455
openai/gpt-oss-120b,implicit,removal,False,spurious_flip,6,0.1277
openai/gpt-oss-120b,implicit,removal,False,spurious_to_uncertain,41,0.8723
openai/gpt-oss-120b,implicit,removal,True,stale,33,0.2129
openai/gpt-oss-120b,implicit,removal,True,uncertain_retreat,122,0.7871
openai/gpt-oss-20b,explicit,add_only,False,spurious_flip,36,0.0947
openai/gpt-oss-20b,explicit,add_only,False,spurious_to_uncertain,344,0.9053
openai/gpt-oss-20b,explicit,add_only,True,stale,1,0.0909
openai/gpt-oss-20b,explicit,add_only,True,uncertain_retreat,10,0.9091
openai/gpt-oss-20b,explicit,removal,False,spurious_flip,20,0.0952
openai/gpt-oss-20b,explicit,removal,False,spurious_to_uncertain,190,0.9048
openai/gpt-oss-20b,explicit,removal,True,other_changed,5,0.0094
openai/gpt-oss-20b,explicit,removal,True,stale,66,0.1238
openai/gpt-oss-20b,explicit,removal,True,uncertain_retreat,462,0.8668
openai/gpt-oss-20b,implicit,add_only,False,other_invariant,4,0.0606
openai/gpt-oss-20b,implicit,add_only,False,spurious_flip,18,0.2727
openai/gpt-oss-20b,implicit,add_only,False,spurious_to_uncertain,44,0.6667
openai/gpt-oss-20b,implicit,add_only,True,stale,5,0.5
openai/gpt-oss-20b,implicit,add_only,True,uncertain_retreat,5,0.5
openai/gpt-oss-20b,implicit,removal,False,spurious_flip,5,0.1282
openai/gpt-oss-20b,implicit,removal,False,spurious_to_uncertain,34,0.8718
openai/gpt-oss-20b,implicit,removal,True,other_changed,4,0.0217
openai/gpt-oss-20b,implicit,removal,True,stale,60,0.3261
openai/gpt-oss-20b,implicit,removal,True,uncertain_retreat,120,0.6522
qwen/qwen3-235b-a22b-2507,explicit,add_only,False,spurious_flip,23,0.1041
qwen/qwen3-235b-a22b-2507,explicit,add_only,False,spurious_to_uncertain,198,0.8959
qwen/qwen3-235b-a22b-2507,explicit,add_only,True,stale,6,0.6
qwen/qwen3-235b-a22b-2507,explicit,add_only,True,uncertain_retreat,4,0.4
qwen/qwen3-235b-a22b-2507,explicit,removal,False,spurious_flip,8,0.0721
qwen/qwen3-235b-a22b-2507,explicit,removal,False,spurious_to_uncertain,103,0.9279
qwen/qwen3-235b-a22b-2507,explicit,removal,True,stale,25,0.0789
qwen/qwen3-235b-a22b-2507,explicit,removal,True,uncertain_retreat,292,0.9211
qwen/qwen3-235b-a22b-2507,implicit,add_only,False,spurious_flip,26,0.5098
qwen/qwen3-235b-a22b-2507,implicit,add_only,False,spurious_to_uncertain,25,0.4902
qwen/qwen3-235b-a22b-2507,implicit,add_only,True,stale,6,0.6667
qwen/qwen3-235b-a22b-2507,implicit,add_only,True,uncertain_retreat,3,0.3333
qwen/qwen3-235b-a22b-2507,implicit,removal,False,spurious_flip,12,0.5217
qwen/qwen3-235b-a22b-2507,implicit,removal,False,spurious_to_uncertain,11,0.4783
qwen/qwen3-235b-a22b-2507,implicit,removal,True,stale,32,0.2462
qwen/qwen3-235b-a22b-2507,implicit,removal,True,uncertain_retreat,98,0.7538
qwen/qwen3-30b-a3b,explicit,add_only,False,spurious_flip,26,0.073
qwen/qwen3-30b-a3b,explicit,add_only,False,spurious_to_uncertain,330,0.927
qwen/qwen3-30b-a3b,explicit,add_only,True,stale,6,0.5455
qwen/qwen3-30b-a3b,explicit,add_only,True,uncertain_retreat,5,0.4545
qwen/qwen3-30b-a3b,explicit,removal,False,spurious_flip,9,0.0604
qwen/qwen3-30b-a3b,explicit,removal,False,spurious_to_uncertain,140,0.9396
qwen/qwen3-30b-a3b,explicit,removal,True,other_changed,3,0.0061
qwen/qwen3-30b-a3b,explicit,removal,True,stale,56,0.1148
qwen/qwen3-30b-a3b,explicit,removal,True,uncertain_retreat,429,0.8791
qwen/qwen3-30b-a3b,implicit,add_only,False,spurious_flip,31,0.4133
qwen/qwen3-30b-a3b,implicit,add_only,False,spurious_to_uncertain,44,0.5867
qwen/qwen3-30b-a3b,implicit,add_only,True,stale,9,0.8182
qwen/qwen3-30b-a3b,implicit,add_only,True,uncertain_retreat,2,0.1818
qwen/qwen3-30b-a3b,implicit,removal,False,spurious_flip,9,0.2647
qwen/qwen3-30b-a3b,implicit,removal,False,spurious_to_uncertain,25,0.7353
qwen/qwen3-30b-a3b,implicit,removal,True,stale,111,0.4494
qwen/qwen3-30b-a3b,implicit,removal,True,uncertain_retreat,136,0.5506
qwen/qwen3-30b-a3b-thinking-2507,explicit,add_only,False,spurious_flip,105,0.3398
qwen/qwen3-30b-a3b-thinking-2507,explicit,add_only,False,spurious_to_uncertain,204,0.6602
qwen/qwen3-30b-a3b-thinking-2507,explicit,add_only,True,stale,9,0.6923
qwen/qwen3-30b-a3b-thinking-2507,explicit,add_only,True,uncertain_retreat,4,0.3077
qwen/qwen3-30b-a3b-thinking-2507,explicit,removal,False,spurious_flip,57,0.4014
qwen/qwen3-30b-a3b-thinking-2507,explicit,removal,False,spurious_to_uncertain,85,0.5986
qwen/qwen3-30b-a3b-thinking-2507,explicit,removal,True,stale,200,0.4878
qwen/qwen3-30b-a3b-thinking-2507,explicit,removal,True,uncertain_retreat,210,0.5122
qwen/qwen3-30b-a3b-thinking-2507,implicit,add_only,False,spurious_flip,28,0.875
qwen/qwen3-30b-a3b-thinking-2507,implicit,add_only,False,spurious_to_uncertain,4,0.125
qwen/qwen3-30b-a3b-thinking-2507,implicit,add_only,True,stale,9,0.9
qwen/qwen3-30b-a3b-thinking-2507,implicit,add_only,True,uncertain_retreat,1,0.1
qwen/qwen3-30b-a3b-thinking-2507,implicit,removal,False,spurious_flip,6,0.5455
qwen/qwen3-30b-a3b-thinking-2507,implicit,removal,False,spurious_to_uncertain,5,0.4545
qwen/qwen3-30b-a3b-thinking-2507,implicit,removal,True,stale,71,0.8353
qwen/qwen3-30b-a3b-thinking-2507,implicit,removal,True,uncertain_retreat,14,0.1647
qwen/qwen3-coder,explicit,add_only,False,spurious_flip,59,0.2892
qwen/qwen3-coder,explicit,add_only,False,spurious_to_uncertain,145,0.7108
qwen/qwen3-coder,explicit,add_only,True,stale,6,0.5
qwen/qwen3-coder,explicit,add_only,True,uncertain_retreat,6,0.5
qwen/qwen3-coder,explicit,removal,False,spurious_flip,28,0.2523
qwen/qwen3-coder,explicit,removal,False,spurious_to_uncertain,83,0.7477
qwen/qwen3-coder,explicit,removal,True,stale,68,0.2267
qwen/qwen3-coder,explicit,removal,True,uncertain_retreat,232,0.7733
qwen/qwen3-coder,implicit,add_only,False,spurious_flip,36,0.5455
qwen/qwen3-coder,implicit,add_only,False,spurious_to_uncertain,30,0.4545
qwen/qwen3-coder,implicit,add_only,True,stale,7,0.6364
qwen/qwen3-coder,implicit,add_only,True,uncertain_retreat,4,0.3636
qwen/qwen3-coder,implicit,removal,False,spurious_flip,19,0.5135
qwen/qwen3-coder,implicit,removal,False,spurious_to_uncertain,18,0.4865
qwen/qwen3-coder,implicit,removal,True,stale,78,0.4727
qwen/qwen3-coder,implicit,removal,True,uncertain_retreat,87,0.5273
qwen/qwen3-coder-30b-a3b-instruct,explicit,add_only,False,spurious_flip,41,0.1065
qwen/qwen3-coder-30b-a3b-instruct,explicit,add_only,False,spurious_to_uncertain,344,0.8935
qwen/qwen3-coder-30b-a3b-instruct,explicit,add_only,True,stale,2,0.1538
qwen/qwen3-coder-30b-a3b-instruct,explicit,add_only,True,uncertain_retreat,11,0.8462
qwen/qwen3-coder-30b-a3b-instruct,explicit,removal,False,spurious_flip,19,0.088
qwen/qwen3-coder-30b-a3b-instruct,explicit,removal,False,spurious_to_uncertain,197,0.912
qwen/qwen3-coder-30b-a3b-instruct,explicit,removal,True,stale,59,0.0935
qwen/qwen3-coder-30b-a3b-instruct,explicit,removal,True,uncertain_retreat,572,0.9065
qwen/qwen3-coder-30b-a3b-instruct,implicit,add_only,False,spurious_flip,57,0.5377
qwen/qwen3-coder-30b-a3b-instruct,implicit,add_only,False,spurious_to_uncertain,49,0.4623
qwen/qwen3-coder-30b-a3b-instruct,implicit,add_only,True,stale,8,0.8
qwen/qwen3-coder-30b-a3b-instruct,implicit,add_only,True,uncertain_retreat,2,0.2
qwen/qwen3-coder-30b-a3b-instruct,implicit,removal,False,spurious_flip,29,0.4328
qwen/qwen3-coder-30b-a3b-instruct,implicit,removal,False,spurious_to_uncertain,38,0.5672
qwen/qwen3-coder-30b-a3b-instruct,implicit,removal,True,stale,106,0.3941
qwen/qwen3-coder-30b-a3b-instruct,implicit,removal,True,uncertain_retreat,163,0.6059
x-ai/grok-code-fast-1,explicit,add_only,False,spurious_flip,45,0.4054
x-ai/grok-code-fast-1,explicit,add_only,False,spurious_to_uncertain,66,0.5946
x-ai/grok-code-fast-1,explicit,add_only,True,stale,5,0.4167
x-ai/grok-code-fast-1,explicit,add_only,True,uncertain_retreat,7,0.5833
x-ai/grok-code-fast-1,explicit,removal,False,other_invariant,1,0.0208
x-ai/grok-code-fast-1,explicit,removal,False,spurious_flip,21,0.4375
x-ai/grok-code-fast-1,explicit,removal,False,spurious_to_uncertain,26,0.5417
x-ai/grok-code-fast-1,explicit,removal,True,other_changed,5,0.0282
x-ai/grok-code-fast-1,explicit,removal,True,stale,64,0.3616
x-ai/grok-code-fast-1,explicit,removal,True,uncertain_retreat,108,0.6102
x-ai/grok-code-fast-1,implicit,add_only,False,other_invariant,2,0.0294
x-ai/grok-code-fast-1,implicit,add_only,False,spurious_flip,21,0.3088
x-ai/grok-code-fast-1,implicit,add_only,False,spurious_to_uncertain,45,0.6618
x-ai/grok-code-fast-1,implicit,add_only,True,stale,5,0.3846
x-ai/grok-code-fast-1,implicit,add_only,True,uncertain_retreat,8,0.6154
x-ai/grok-code-fast-1,implicit,removal,False,other_invariant,1,0.0312
x-ai/grok-code-fast-1,implicit,removal,False,spurious_flip,17,0.5312
x-ai/grok-code-fast-1,implicit,removal,False,spurious_to_uncertain,14,0.4375
x-ai/grok-code-fast-1,implicit,removal,True,other_changed,4,0.0238
x-ai/grok-code-fast-1,implicit,removal,True,stale,54,0.3214
x-ai/grok-code-fast-1,implicit,removal,True,uncertain_retreat,110,0.6548
