model,track,setting,prompting,feedback,n_examples
openai/gpt-oss-120b,implicit_no_reasoning,implicit,standard,True,400
openai/gpt-oss-120b,implicit_no_correction,implicit,cot,False,400
openai/gpt-oss-120b,implicit_no_reasoning_no_correction,implicit,standard,False,400
openai/gpt-oss-20b,explicit,explicit,cot,True,400
openai/gpt-oss-20b,explicit_no_reasoning,explicit,standard,True,400
openai/gpt-oss-20b,explicit_no_correction,explicit,cot,False,400
openai/gpt-oss-20b,explicit_no_reasoning_no_correction,explicit,standard,False,400
openai/gpt-oss-20b,implicit,implicit,cot,True,400
openai/gpt-oss-20b,implicit_no_reasoning,implicit,standard,True,400
openai/gpt-oss-20b,implicit_no_correction,implicit,cot,False,400
openai/gpt-oss-20b,implicit_no_reasoning_no_correction,implicit,standard,False,400
qwen/qwen-2.5-coder-32b-instruct,explicit,explicit,cot,True,400
qwen/qwen-2.5-coder-32b-instruct,explicit_no_reasoning,explicit,standard,True,400
qwen/qwen-2.5-coder-32b-instruct,explicit_no_correction,explicit,cot,False,400
qwen/qwen-2.5-coder-32b-instruct,explicit_no_reasoning_no_correction,explicit,standard,False,400
qwen/qwen-2.5-coder-32b-instruct,implicit,implicit,cot,True,400
qwen/qwen-2.5-coder-32b-instruct,implicit_no_reasoning,implicit,standard,True,400
qwen/qwen-2.5-coder-32b-instruct,implicit_no_correction,implicit,cot,False,400
qwen/qwen-2.5-coder-32b-instruct,implicit_no_reasoning_no_correction,implicit,standard,False,400
qwen/qwen3-235b-a22b-2507,explicit,explicit,cot,True,400
qwen/qwen3-235b-a22b-2507,explicit_no_reasoning,explicit,standard,True,400
qwen/qwen3-235b-a22b-2507,explicit_no_correction,explicit,cot,False,400
qwen/qwen3-235b-a22b-2507,explicit_no_reasoning_no_correction,explicit,standard,False,400
qwen/qwen3-235b-a22b-2507,implicit,implicit,cot,True,400
qwen/qwen3-235b-a22b-2507,implicit_no_reasoning,implicit,standard,True,400
qwen/qwen3-235b-a22b-2507,implicit_no_correction,implicit,cot,False,400
qwen/qwen3-235b-a22b-2507,implicit_no_reasoning_no_correction,implicit,standard,False,400
qwen/qwen3-235b-a22b-thinking-2507,explicit,explicit,cot,True,400
qwen/qwen3-235b-a22b-thinking-2507,explicit_no_reasoning,explicit,standard,True,400
qwen/qwen3-235b-a22b-thinking-2507,explicit_no_correction,explicit,cot,False,400
qwen/qwen3-235b-a22b-thinking-2507,explicit_no_reasoning_no_correction,explicit,standard,False,400
qwen/qwen3-235b-a22b-thinking-2507,implicit,implicit,cot,True,400
qwen/qwen3-235b-a22b-thinking-2507,implicit_no_reasoning,implicit,standard,True,400
qwen/qwen3-235b-a22b-thinking-2507,implicit_no_correction,implicit,cot,False,400
qwen/qwen3-235b-a22b-thinking-2507,implicit_no_reasoning_no_correction,implicit,standard,False,400
qwen/qwen3-30b-a3b,explicit,explicit,cot,True,400
qwen/qwen3-30b-a3b,explicit_no_reasoning,explicit,standard,True,400
qwen/qwen3-30b-a3b,explicit_no_correction,explicit,cot,False,400
qwen/qwen3-30b-a3b,explicit_no_reasoning_no_correction,explicit,standard,False,400
qwen/qwen3-30b-a3b,implicit,implicit,cot,True,400
qwen/qwen3-30b-a3b,implicit_no_reasoning,implicit,standard,True,400
qwen/qwen3-30b-a3b,implicit_no_correction,implicit,cot,False,400
qwen/qwen3-30b-a3b,implicit_no_reasoning_no_correction,implicit,standard,False,400
qwen/qwen3-30b-a3b-thinking-2507,explicit,explicit,cot,True,400
qwen/qwen3-30b-a3b-thinking-2507,explicit_no_reasoning,explicit,standard,True,400
qwen/qwen3-30b-a3b-thinking-2507,explicit_no_correction,explicit,cot,False,400
qwen/qwen3-30b-a3b-thinking-2507,explicit_no_reasoning_no_correction,explicit,standard,False,400
qwen/qwen3-30b-a3b-thinking-2507,implicit,implicit,cot,True,400
qwen/qwen3-30b-a3b-thinking-2507,implicit_no_reasoning,implicit,standard,True,400
qwen/qwen3-30b-a3b-thinking-2507,implicit_no_correction,implicit,cot,False,400
qwen/qwen3-30b-a3b-thinking-2507,implicit_no_reasoning_no_correction,implicit,standard,False,400
qwen/qwen3-coder,explicit,explicit,cot,True,400
qwen/qwen3-coder,explicit_no_reasoning,explicit,standard,True,400
qwen/qwen3-coder,explicit_no_correction,explicit,cot,False,400
qwen/qwen3-coder,explicit_no_reasoning_no_correction,explicit,standard,False,400
qwen/qwen3-coder,implicit,implicit,cot,True,400
qwen/qwen3-coder,implicit_no_reasoning,implicit,standard,True,400
qwen/qwen3-coder,implicit_no_correction,implicit,cot,False,400
qwen/qwen3-coder,implicit_no_reasoning_no_correction,implicit,standard,False,400
qwen/qwen3-coder-30b-a3b-instruct,explicit,explicit,cot,True,400
qwen/qwen3-coder-30b-a3b-instruct,explicit_no_reasoning,explicit,standard,True,400
qwen/qwen3-coder-30b-a3b-instruct,explicit_no_correction,explicit,cot,False,400
qwen/qwen3-coder-30b-a3b-instruct,explicit_no_reasoning_no_correction,explicit,standard,False,400
qwen/qwen3-coder-30b-a3b-instruct,implicit,implicit,cot,True,400
qwen/qwen3-coder-30b-a3b-instruct,implicit_no_reasoning,implicit,standard,True,400
qwen/qwen3-coder-30b-a3b-instruct,implicit_no_correction,implicit,cot,False,400
qwen/qwen3-coder-30b-a3b-instruct,implicit_no_reasoning_no_correction,implicit,standard,False,400
x-ai/grok-code-fast-1,explicit,explicit,cot,True,400
x-ai/grok-code-fast-1,explicit_no_reasoning,explicit,standard,True,400
x-ai/grok-code-fast-1,explicit_no_correction,explicit,cot,False,400
x-ai/grok-code-fast-1,explicit_no_reasoning_no_correction,explicit,standard,False,400
x-ai/grok-code-fast-1,implicit,implicit,cot,True,400
x-ai/grok-code-fast-1,implicit_no_reasoning,implicit,standard,True,400
x-ai/grok-code-fast-1,implicit_no_correction,implicit,cot,False,400
x-ai/grok-code-fast-1,implicit_no_reasoning_no_correction,implicit,standard,False,400
