model,track,n,n_disagree
google/gemma-3-27b-it,implicit_no_correction,2800,75
google/gemma-3-27b-it,implicit_no_reasoning,2800,0
google/gemma-3-27b-it,implicit_no_reasoning_no_correction,2800,4
google/gemma-3-4b-it,explicit,2800,87
google/gemma-3-4b-it,explicit_no_correction,2800,39
google/gemma-3-4b-it,explicit_no_reasoning,2800,0
google/gemma-3-4b-it,explicit_no_reasoning_no_correction,2800,3
google/gemma-3-4b-it,implicit,2800,210
google/gemma-3-4b-it,implicit_no_correction,2800,212
google/gemma-3-4b-it,implicit_no_reasoning,2800,0
google/gemma-3-4b-it,implicit_no_reasoning_no_correction,2800,0
moonshotai/kimi-k2-0905,explicit,2800,1
moonshotai/kimi-k2-0905,explicit_no_correction,2800,1
moonshotai/kimi-k2-0905,explicit_no_reasoning,2800,1
moonshotai/kimi-k2-0905,explicit_no_reasoning_no_correction,2800,0
moonshotai/kimi-k2-0905,implicit,2800,3
moonshotai/kimi-k2-0905,implicit_no_correction,2800,1
moonshotai/kimi-k2-0905,implicit_no_reasoning,2800,0
moonshotai/kimi-k2-0905,implicit_no_reasoning_no_correction,2800,6
openai/gpt-4.1-mini,explicit,2800,0
openai/gpt-4.1-mini,explicit_no_correction,2800,0
openai/gpt-4.1-mini,explicit_no_reasoning,2800,0
openai/gpt-4.1-mini,explicit_no_reasoning_no_correction,2800,0
openai/gpt-4.1-mini,implicit,2800,0
openai/gpt-4.1-mini,implicit_no_correction,2800,0
openai/gpt-4.1-mini,implicit_no_reasoning,2800,0
openai/gpt-4.1-mini,implicit_no_reasoning_no_correction,2800,0
openai/gpt-5-nano,explicit,2800,0
openai/gpt-5-nano,explicit_no_correction,2800,0
openai/gpt-5-nano,explicit_no_reasoning,2800,0
openai/gpt-5-nano,explicit_no_reasoning_no_correction,2800,0
openai/gpt-5-nano,implicit,2800,1
openai/gpt-5-nano,implicit_no_correction,2800,1
openai/gpt-5-nano,implicit_no_reasoning,2800,0
openai/gpt-5-nano,implicit_no_reasoning_no_correction,2800,0
openai/gpt-oss-120b,explicit,2800,0
openai/gpt-oss-120b,explicit_no_correction,2800,0
openai/gpt-oss-120b,explicit_no_reasoning,2800,0
openai/gpt-oss-120b,explicit_no_reasoning_no_correction,2800,0
openai/gpt-oss-120b,implicit,2800,0
openai/gpt-oss-120b,implicit_no_correction,2800,0
openai/gpt-oss-120b,implicit_no_reasoning,2800,0
openai/gpt-oss-120b,implicit_no_reasoning_no_correction,2800,0
openai/gpt-oss-20b,explicit,2800,3
openai/gpt-oss-20b,explicit_no_correction,2800,0
openai/gpt-oss-20b,explicit_no_reasoning,2800,0
openai/gpt-oss-20b,explicit_no_reasoning_no_correction,2800,8
openai/gpt-oss-20b,implicit,2800,6
openai/gpt-oss-20b,implicit_no_correction,2800,7
openai/gpt-oss-20b,implicit_no_reasoning,2800,7
openai/gpt-oss-20b,implicit_no_reasoning_no_correction,2800,6
qwen/qwen-2.5-coder-32b-instruct,explicit,2800,157
qwen/qwen-2.5-coder-32b-instruct,explicit_no_correction,2800,131
qwen/qwen-2.5-coder-32b-instruct,explicit_no_reasoning,2800,223
qwen/qwen-2.5-coder-32b-instruct,explicit_no_reasoning_no_correction,2800,160
qwen/qwen-2.5-coder-32b-instruct,implicit,2800,150
qwen/qwen-2.5-coder-32b-instruct,implicit_no_correction,2800,158
qwen/qwen-2.5-coder-32b-instruct,implicit_no_reasoning,2800,149
qwen/qwen-2.5-coder-32b-instruct,implicit_no_reasoning_no_correction,2800,141
qwen/qwen3-235b-a22b-2507,explicit,2800,12
qwen/qwen3-235b-a22b-2507,explicit_no_correction,2800,6
qwen/qwen3-235b-a22b-2507,explicit_no_reasoning,2800,37
qwen/qwen3-235b-a22b-2507,explicit_no_reasoning_no_correction,2800,27
qwen/qwen3-235b-a22b-2507,implicit,2800,11
qwen/qwen3-235b-a22b-2507,implicit_no_correction,2800,14
qwen/qwen3-235b-a22b-2507,implicit_no_reasoning,2800,12
qwen/qwen3-235b-a22b-2507,implicit_no_reasoning_no_correction,2800,13
qwen/qwen3-235b-a22b-thinking-2507,explicit,2800,0
qwen/qwen3-235b-a22b-thinking-2507,explicit_no_correction,2800,1
qwen/qwen3-235b-a22b-thinking-2507,explicit_no_reasoning,2800,1
qwen/qwen3-235b-a22b-thinking-2507,explicit_no_reasoning_no_correction,2800,1
qwen/qwen3-235b-a22b-thinking-2507,implicit,2800,0
qwen/qwen3-235b-a22b-thinking-2507,implicit_no_correction,2800,1
qwen/qwen3-235b-a22b-thinking-2507,implicit_no_reasoning,2800,2
qwen/qwen3-235b-a22b-thinking-2507,implicit_no_reasoning_no_correction,2800,0
qwen/qwen3-30b-a3b,explicit,2800,96
qwen/qwen3-30b-a3b,explicit_no_correction,2800,52
qwen/qwen3-30b-a3b,explicit_no_reasoning,2800,234
qwen/qwen3-30b-a3b,explicit_no_reasoning_no_correction,2800,158
qwen/qwen3-30b-a3b,implicit,2800,204
qwen/qwen3-30b-a3b,implicit_no_correction,2800,125
qwen/qwen3-30b-a3b,implicit_no_reasoning,2800,280
qwen/qwen3-30b-a3b,implicit_no_reasoning_no_correction,2800,266
qwen/qwen3-30b-a3b-thinking-2507,explicit,2800,125
qwen/qwen3-30b-a3b-thinking-2507,explicit_no_correction,2800,90
qwen/qwen3-30b-a3b-thinking-2507,explicit_no_reasoning,2800,236
qwen/qwen3-30b-a3b-thinking-2507,explicit_no_reasoning_no_correction,2800,226
qwen/qwen3-30b-a3b-thinking-2507,implicit,2800,168
qwen/qwen3-30b-a3b-thinking-2507,implicit_no_correction,2800,160
qwen/qwen3-30b-a3b-thinking-2507,implicit_no_reasoning,2800,139
qwen/qwen3-30b-a3b-thinking-2507,implicit_no_reasoning_no_correction,2800,212
qwen/qwen3-coder,explicit,2800,8
qwen/qwen3-coder,explicit_no_correction,2800,4
qwen/qwen3-coder,explicit_no_reasoning,2800,13
qwen/qwen3-coder,explicit_no_reasoning_no_correction,2800,0
qwen/qwen3-coder,implicit,2800,10
qwen/qwen3-coder,implicit_no_correction,2800,13
qwen/qwen3-coder,implicit_no_reasoning,2800,8
qwen/qwen3-coder,implicit_no_reasoning_no_correction,2800,23
qwen/qwen3-coder-30b-a3b-instruct,explicit,2800,0
qwen/qwen3-coder-30b-a3b-instruct,explicit_no_correction,2800,0
qwen/qwen3-coder-30b-a3b-instruct,explicit_no_reasoning,2800,0
qwen/qwen3-coder-30b-a3b-instruct,explicit_no_reasoning_no_correction,2800,0
qwen/qwen3-coder-30b-a3b-instruct,implicit,2800,0
qwen/qwen3-coder-30b-a3b-instruct,implicit_no_correction,2800,7
qwen/qwen3-coder-30b-a3b-instruct,implicit_no_reasoning,2800,2
qwen/qwen3-coder-30b-a3b-instruct,implicit_no_reasoning_no_correction,2800,0
x-ai/grok-code-fast-1,explicit,2800,7
x-ai/grok-code-fast-1,explicit_no_correction,2800,7
x-ai/grok-code-fast-1,explicit_no_reasoning,2800,4
x-ai/grok-code-fast-1,explicit_no_reasoning_no_correction,2800,0
x-ai/grok-code-fast-1,implicit,2800,0
x-ai/grok-code-fast-1,implicit_no_correction,2800,13
x-ai/grok-code-fast-1,implicit_no_reasoning,2800,1
x-ai/grok-code-fast-1,implicit_no_reasoning_no_correction,2800,0
