example_id,turn_index,edit_class,edit_class_recorded,delta_mismatch,n_unrecorded_removed,n_unrecorded_added,answer_changed,modification_type
ex_1112,5,add_only,add_only,False,0,0,False,INVARIANT
ex_1112,6,removal,removal,False,0,0,True,FLIP
ex_1112,7,removal,removal,False,0,0,True,FLIP
ex_1122,1,removal,removal,False,0,0,False,INVARIANT
ex_1122,2,add_only,add_only,False,0,0,False,INVARIANT
ex_1122,3,add_only,add_only,False,0,0,False,INVARIANT
ex_1122,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1122,5,removal,removal,True,2,1,True,FLIP
ex_1122,6,add_only,add_only,False,0,0,False,INVARIANT
ex_1122,7,removal,removal,True,6,4,True,FLIP
ex_1187,1,removal,removal,False,0,0,True,FLIP
ex_1187,2,removal,removal,False,0,0,True,FLIP
ex_1187,3,add_only,add_only,False,0,0,False,INVARIANT
ex_1187,4,removal,removal,False,0,0,True,FLIP
ex_1187,5,removal,removal,False,0,0,True,FLIP
ex_1187,6,add_only,add_only,False,0,0,False,INVARIANT
ex_1187,7,removal,removal,False,0,0,True,FLIP
ex_1217,1,removal,removal,False,0,0,True,FLIP
ex_1217,2,add_only,add_only,False,0,0,False,INVARIANT
ex_1217,3,removal,removal,False,0,0,True,FLIP
ex_1217,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1217,5,removal,removal,False,0,0,True,FLIP
ex_1217,6,removal,removal,False,0,0,True,FLIP
ex_1217,7,removal,removal,False,0,0,True,FLIP
ex_1240,1,removal,removal,True,0,2,False,INVARIANT
ex_1240,2,add_only,add_only,False,0,0,False,INVARIANT
ex_1240,3,removal,removal,False,0,0,True,FLIP
ex_1240,4,removal,removal,True,1,0,True,FLIP
ex_1240,5,add_only,add_only,False,0,0,False,INVARIANT
ex_1240,6,removal,add_only,True,1,1,False,INVARIANT
ex_1240,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1247,1,removal,removal,False,0,0,True,FLIP
ex_1247,2,removal,removal,False,0,0,False,INVARIANT
ex_1247,3,removal,removal,False,0,0,False,INVARIANT
ex_1247,4,removal,removal,False,0,0,True,FLIP
ex_1247,5,removal,removal,False,0,0,False,INVARIANT
ex_1247,6,removal,removal,False,0,0,True,FLIP
ex_1247,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1261,1,removal,removal,False,0,0,False,INVARIANT
ex_1261,2,removal,removal,True,0,1,False,INVARIANT
ex_1261,3,removal,removal,True,0,1,False,INVARIANT
ex_1261,4,removal,removal,False,0,0,False,INVARIANT
ex_1261,5,removal,removal,False,0,0,True,FLIP
ex_1261,6,removal,removal,False,0,0,True,FLIP
ex_1261,7,removal,removal,False,0,0,True,FLIP
ex_1427,1,add_only,add_only,False,0,0,False,INVARIANT
ex_1427,2,removal,removal,False,0,0,True,FLIP
ex_1427,3,add_only,add_only,False,0,0,False,INVARIANT
ex_1427,4,removal,removal,False,0,0,True,FLIP
ex_1427,5,removal,removal,False,0,0,True,FLIP
ex_1427,6,removal,removal,False,0,0,True,FLIP
ex_1427,7,removal,removal,False,0,0,False,INVARIANT
ex_1437,1,removal,removal,False,0,0,True,FLIP
ex_1437,2,removal,removal,False,0,0,True,FLIP
ex_1437,3,add_only,add_only,False,0,0,False,INVARIANT
ex_1437,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1437,5,add_only,add_only,False,0,0,False,INVARIANT
ex_1437,6,add_only,add_only,False,0,0,False,INVARIANT
ex_1437,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1447,1,removal,removal,False,0,0,True,FLIP
ex_1447,2,add_only,add_only,False,0,0,False,INVARIANT
ex_1447,3,add_only,add_only,False,0,0,False,INVARIANT
ex_1447,4,removal,removal,False,0,0,True,FLIP
ex_1447,5,removal,removal,False,0,0,True,FLIP
ex_1447,6,removal,removal,False,0,0,True,FLIP
ex_1447,7,removal,add_only,True,1,0,False,INVARIANT
ex_1456,1,add_only,add_only,False,0,0,False,INVARIANT
ex_1456,2,removal,removal,False,0,0,True,FLIP
ex_1456,3,removal,removal,False,0,0,True,FLIP
ex_1456,4,removal,removal,False,0,0,False,INVARIANT
ex_1456,5,removal,removal,True,0,1,False,INVARIANT
ex_1456,6,removal,removal,False,0,0,True,FLIP
ex_1456,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1457,1,add_only,add_only,False,0,0,False,INVARIANT
ex_1457,2,removal,removal,False,0,0,True,FLIP
ex_1457,3,removal,removal,False,0,0,True,FLIP
ex_1457,4,removal,removal,False,0,0,True,FLIP
ex_1457,5,removal,removal,False,0,0,True,FLIP
ex_1457,6,removal,removal,False,0,0,True,FLIP
ex_1457,7,removal,removal,False,0,0,True,FLIP
ex_1471,1,removal,removal,False,0,0,True,FLIP
ex_1471,2,removal,removal,False,0,0,True,FLIP
ex_1471,3,removal,removal,False,0,0,True,FLIP
ex_1471,4,removal,removal,False,0,0,True,FLIP
ex_1471,5,removal,removal,False,0,0,True,FLIP
ex_1471,6,removal,removal,True,0,1,False,INVARIANT
ex_1471,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1476,1,removal,removal,False,0,0,True,FLIP
ex_1476,2,removal,removal,False,0,0,True,FLIP
ex_1476,3,add_only,add_only,False,0,0,False,INVARIANT
ex_1476,4,none,add_only,True,0,0,False,INVARIANT
ex_1476,5,removal,removal,False,0,0,True,FLIP
ex_1476,6,removal,removal,False,0,0,True,FLIP
ex_1476,7,removal,removal,True,0,1,False,INVARIANT
ex_1477,1,add_only,add_only,False,0,0,False,INVARIANT
ex_1477,2,removal,removal,True,1,1,True,FLIP
ex_1477,3,removal,removal,False,0,0,True,FLIP
ex_1477,4,removal,removal,False,0,0,True,FLIP
ex_1477,5,removal,removal,False,0,0,True,FLIP
ex_1477,6,removal,removal,False,0,0,True,FLIP
ex_1477,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1492,1,add_only,add_only,False,0,0,False,INVARIANT
ex_1492,2,removal,removal,False,0,0,True,FLIP
ex_1492,3,removal,removal,False,0,0,True,FLIP
ex_1492,4,removal,removal,False,0,0,False,INVARIANT
ex_1492,5,add_only,add_only,False,0,0,False,INVARIANT
ex_1492,6,removal,removal,False,0,0,True,FLIP
ex_1492,7,removal,removal,True,1,0,True,FLIP
ex_1513,1,removal,removal,False,0,0,True,FLIP
ex_1513,2,removal,removal,False,0,0,True,FLIP
ex_1513,3,removal,removal,False,0,0,True,FLIP
ex_1513,4,removal,removal,False,0,0,False,INVARIANT
ex_1513,5,removal,removal,False,0,0,True,FLIP
ex_1513,6,removal,removal,False,0,0,False,INVARIANT
ex_1513,7,removal,add_only,True,1,0,False,INVARIANT
ex_1523,1,add_only,add_only,False,0,0,False,INVARIANT
ex_1523,2,removal,removal,False,0,0,True,FLIP
ex_1523,3,add_only,add_only,False,0,0,False,INVARIANT
ex_1523,4,removal,removal,True,1,0,True,FLIP
ex_1523,5,removal,removal,False,0,0,True,FLIP
ex_1523,6,removal,removal,False,0,0,True,FLIP
ex_1523,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1533,1,removal,removal,False,0,0,True,FLIP
ex_1533,2,removal,add_only,True,1,1,False,INVARIANT
ex_1533,3,removal,removal,False,0,0,True,FLIP
ex_1533,4,removal,removal,False,0,0,True,FLIP
ex_1533,5,add_only,add_only,False,0,0,False,INVARIANT
ex_1533,6,removal,removal,False,0,0,False,INVARIANT
ex_1533,7,removal,removal,True,0,2,False,INVARIANT
ex_1539,1,removal,removal,False,0,0,True,FLIP
ex_1539,2,removal,removal,False,0,0,False,INVARIANT
ex_1539,3,removal,removal,True,1,1,True,FLIP
ex_1539,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1539,5,removal,add_only,True,1,1,False,INVARIANT
ex_1539,6,add_only,add_only,False,0,0,False,INVARIANT
ex_1539,7,removal,removal,False,0,0,True,FLIP
ex_1542,1,removal,removal,False,0,0,True,FLIP
ex_1542,2,removal,removal,False,0,0,True,FLIP
ex_1542,3,removal,removal,False,0,0,False,INVARIANT
ex_1542,4,removal,removal,False,0,0,True,FLIP
ex_1542,5,removal,removal,False,0,0,True,FLIP
ex_1542,6,removal,removal,False,0,0,False,INVARIANT
ex_1542,7,removal,removal,False,0,0,False,INVARIANT
ex_1543,1,removal,removal,True,1,1,True,FLIP
ex_1543,2,add_only,add_only,False,0,0,False,INVARIANT
ex_1543,3,add_only,add_only,False,0,0,False,INVARIANT
ex_1543,4,removal,removal,False,0,0,True,FLIP
ex_1543,5,removal,removal,True,1,2,False,INVARIANT
ex_1543,6,add_only,add_only,False,0,0,False,INVARIANT
ex_1543,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1564,1,removal,removal,False,0,0,False,INVARIANT
ex_1564,2,removal,removal,True,1,0,True,FLIP
ex_1564,3,add_only,add_only,False,0,0,False,INVARIANT
ex_1564,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1564,5,removal,removal,True,1,0,True,FLIP
ex_1564,6,removal,removal,False,0,0,True,FLIP
ex_1564,7,removal,removal,True,1,1,True,FLIP
ex_1568,1,removal,removal,False,0,0,False,INVARIANT
ex_1568,2,add_only,add_only,False,0,0,False,INVARIANT
ex_1568,3,removal,removal,False,0,0,True,FLIP
ex_1568,4,removal,removal,False,0,0,True,FLIP
ex_1568,5,removal,removal,True,0,2,False,INVARIANT
ex_1568,6,removal,removal,False,0,0,True,FLIP
ex_1568,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1579,1,removal,removal,False,0,0,True,FLIP
ex_1579,2,removal,removal,False,0,0,True,FLIP
ex_1579,3,removal,removal,False,0,0,True,FLIP
ex_1579,4,removal,removal,False,0,0,True,FLIP
ex_1579,5,removal,removal,False,0,0,True,FLIP
ex_1579,6,removal,removal,False,0,0,False,INVARIANT
ex_1579,7,removal,removal,False,0,0,True,FLIP
ex_1621,1,removal,removal,False,0,0,True,FLIP
ex_1621,2,removal,removal,False,0,0,True,FLIP
ex_1621,3,removal,removal,False,0,0,False,INVARIANT
ex_1621,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1621,5,removal,removal,False,0,0,True,FLIP
ex_1621,6,removal,removal,False,0,0,False,INVARIANT
ex_1621,7,removal,removal,False,0,0,True,FLIP
ex_1636,1,removal,removal,True,0,1,True,FLIP
ex_1636,2,removal,removal,True,0,1,False,INVARIANT
ex_1636,3,removal,removal,False,0,0,True,FLIP
ex_1636,4,removal,removal,False,0,0,True,FLIP
ex_1636,5,removal,removal,False,0,0,True,FLIP
ex_1636,6,removal,removal,False,0,0,False,INVARIANT
ex_1636,7,removal,removal,False,0,0,True,FLIP
ex_1646,1,removal,removal,False,0,0,False,INVARIANT
ex_1646,2,add_only,add_only,False,0,0,False,INVARIANT
ex_1646,3,removal,removal,False,0,0,True,FLIP
ex_1646,4,removal,removal,True,1,1,True,FLIP
ex_1646,5,removal,removal,True,0,1,True,FLIP
ex_1646,6,removal,removal,True,0,1,False,INVARIANT
ex_1646,7,removal,removal,True,0,1,True,FLIP
ex_1666,1,removal,add_only,True,1,1,False,INVARIANT
ex_1666,2,removal,removal,False,0,0,True,FLIP
ex_1666,3,removal,removal,False,0,0,True,FLIP
ex_1666,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1666,5,removal,removal,False,0,0,True,FLIP
ex_1666,6,removal,removal,False,0,0,True,FLIP
ex_1666,7,removal,removal,False,0,0,True,FLIP
ex_1705,1,removal,removal,False,0,0,True,FLIP
ex_1705,2,removal,removal,True,0,2,False,INVARIANT
ex_1705,3,removal,removal,False,0,0,True,FLIP
ex_1705,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1705,5,add_only,add_only,False,0,0,False,INVARIANT
ex_1705,6,removal,removal,False,0,0,True,FLIP
ex_1705,7,removal,removal,False,0,0,True,FLIP
ex_1713,1,add_only,add_only,False,0,0,True,FLIP
ex_1713,2,removal,removal,False,0,0,True,FLIP
ex_1713,3,removal,removal,False,0,0,True,FLIP
ex_1713,4,removal,removal,False,0,0,True,FLIP
ex_1713,5,removal,removal,False,0,0,False,INVARIANT
ex_1713,6,removal,removal,False,0,0,False,INVARIANT
ex_1713,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1724,1,removal,removal,False,0,0,False,INVARIANT
ex_1724,2,removal,removal,False,0,0,False,INVARIANT
ex_1724,3,add_only,add_only,False,0,0,False,INVARIANT
ex_1724,4,removal,removal,False,0,0,True,FLIP
ex_1724,5,removal,removal,False,0,0,False,INVARIANT
ex_1724,6,removal,removal,False,0,0,True,FLIP
ex_1724,7,removal,removal,True,0,0,False,INVARIANT
ex_1732,1,add_only,add_only,False,0,0,False,INVARIANT
ex_1732,2,add_only,add_only,False,0,0,False,INVARIANT
ex_1732,3,removal,removal,True,0,2,False,INVARIANT
ex_1732,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1732,5,removal,removal,False,0,0,False,INVARIANT
ex_1732,6,removal,add_only,True,1,1,False,INVARIANT
ex_1732,7,removal,removal,True,1,1,True,FLIP
ex_1739,1,removal,removal,False,0,0,False,INVARIANT
ex_1739,2,removal,removal,False,0,0,False,INVARIANT
ex_1739,3,removal,removal,True,0,1,False,INVARIANT
ex_1739,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1739,5,removal,removal,True,0,2,False,INVARIANT
ex_1739,6,add_only,add_only,False,0,0,False,INVARIANT
ex_1739,7,removal,removal,False,0,0,True,FLIP
ex_1754,1,removal,removal,False,0,0,False,INVARIANT
ex_1754,2,add_only,add_only,False,0,0,True,FLIP
ex_1754,3,removal,removal,False,0,0,False,INVARIANT
ex_1754,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1754,5,add_only,add_only,False,0,0,False,INVARIANT
ex_1754,6,add_only,add_only,False,0,0,False,INVARIANT
ex_1754,7,add_only,add_only,False,0,0,False,INVARIANT
ex_177,1,none,none,False,0,0,False,INVARIANT
ex_177,2,removal,removal,False,0,0,False,INVARIANT
ex_177,3,add_only,add_only,False,0,0,False,INVARIANT
ex_177,4,removal,removal,True,1,2,True,FLIP
ex_177,5,removal,removal,False,0,0,True,FLIP
ex_177,6,removal,removal,False,0,0,True,FLIP
ex_177,7,removal,removal,False,0,0,True,FLIP
ex_1774,1,removal,add_only,True,2,2,False,INVARIANT
ex_1774,2,removal,removal,True,1,0,True,FLIP
ex_1774,3,removal,removal,False,0,0,False,INVARIANT
ex_1774,4,removal,removal,False,0,0,True,FLIP
ex_1774,5,removal,removal,False,0,0,True,FLIP
ex_1774,6,removal,removal,False,0,0,False,INVARIANT
ex_1774,7,removal,removal,False,0,0,True,FLIP
ex_1778,1,removal,removal,True,2,1,True,FLIP
ex_1778,2,removal,removal,False,0,0,False,INVARIANT
ex_1778,3,add_only,add_only,False,0,0,False,INVARIANT
ex_1778,4,removal,removal,False,0,0,True,FLIP
ex_1778,5,removal,removal,False,0,0,True,FLIP
ex_1778,6,removal,removal,False,0,0,True,FLIP
ex_1778,7,removal,removal,False,0,0,False,INVARIANT
ex_1786,1,add_only,add_only,False,0,0,False,INVARIANT
ex_1786,2,add_only,add_only,False,0,0,False,INVARIANT
ex_1786,3,removal,removal,True,0,1,False,INVARIANT
ex_1786,4,removal,removal,False,0,0,True,FLIP
ex_1786,5,add_only,add_only,False,0,0,False,INVARIANT
ex_1786,6,add_only,add_only,False,0,0,False,INVARIANT
ex_1786,7,removal,removal,False,0,0,True,FLIP
ex_1796,1,removal,removal,True,0,1,True,FLIP
ex_1796,2,removal,removal,False,0,0,True,FLIP
ex_1796,3,removal,removal,False,0,0,True,FLIP
ex_1796,4,removal,removal,False,0,0,True,FLIP
ex_1796,5,removal,removal,False,0,0,True,FLIP
ex_1796,6,removal,removal,False,0,0,True,FLIP
ex_1796,7,removal,removal,True,0,1,False,INVARIANT
ex_182,1,add_only,add_only,False,0,0,False,INVARIANT
ex_182,2,removal,removal,False,0,0,True,FLIP
ex_182,3,removal,removal,False,0,0,True,FLIP
ex_182,4,removal,removal,False,0,0,False,INVARIANT
ex_182,5,add_only,add_only,False,0,0,False,INVARIANT
ex_182,6,removal,removal,False,0,0,True,FLIP
ex_182,7,removal,removal,False,0,0,True,FLIP
ex_183,1,removal,removal,True,0,1,False,INVARIANT
ex_183,2,removal,removal,False,0,0,True,FLIP
ex_183,3,removal,removal,False,0,0,True,FLIP
ex_183,4,removal,removal,False,0,0,True,FLIP
ex_183,5,removal,removal,False,0,0,False,INVARIANT
ex_183,6,removal,removal,True,1,1,True,FLIP
ex_183,7,removal,removal,False,0,0,True,FLIP
ex_1882,1,removal,add_only,True,2,0,False,INVARIANT
ex_1882,2,removal,removal,True,0,1,False,INVARIANT
ex_1882,3,removal,removal,False,0,0,True,FLIP
ex_1882,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1882,5,removal,removal,False,0,0,True,FLIP
ex_1882,6,removal,removal,True,1,1,False,INVARIANT
ex_1882,7,removal,removal,False,0,0,True,FLIP
ex_1898,1,add_only,add_only,False,0,0,False,INVARIANT
ex_1898,2,removal,removal,False,0,0,True,FLIP
ex_1898,3,removal,removal,True,0,1,False,INVARIANT
ex_1898,4,removal,removal,False,0,0,True,FLIP
ex_1898,5,removal,removal,False,0,0,True,FLIP
ex_1898,6,add_only,add_only,False,0,0,False,INVARIANT
ex_1898,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1919,1,add_only,add_only,False,0,0,False,INVARIANT
ex_1919,2,removal,removal,False,0,0,True,FLIP
ex_1919,3,removal,removal,False,0,0,True,FLIP
ex_1919,4,removal,removal,False,0,0,True,FLIP
ex_1919,5,removal,removal,False,0,0,False,INVARIANT
ex_1919,6,add_only,add_only,False,0,0,False,INVARIANT
ex_1919,7,removal,removal,False,0,0,True,FLIP
ex_192,1,removal,removal,False,0,0,True,FLIP
ex_192,2,removal,removal,True,0,1,True,FLIP
ex_192,3,removal,removal,False,0,0,False,INVARIANT
ex_192,4,add_only,add_only,False,0,0,False,INVARIANT
ex_192,5,removal,removal,False,0,0,True,FLIP
ex_192,6,add_only,add_only,False,0,0,False,INVARIANT
ex_192,7,removal,removal,True,0,0,False,INVARIANT
ex_1924,1,add_only,add_only,False,0,0,False,INVARIANT
ex_1924,2,removal,removal,False,0,0,True,FLIP
ex_1924,3,removal,removal,False,0,0,True,FLIP
ex_1924,4,removal,removal,True,1,0,True,FLIP
ex_1924,5,removal,removal,True,0,0,True,FLIP
ex_1924,6,removal,removal,False,0,0,True,FLIP
ex_1924,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1944,1,removal,removal,False,0,0,True,FLIP
ex_1944,2,removal,removal,False,0,0,True,FLIP
ex_1944,3,removal,removal,True,0,1,False,INVARIANT
ex_1944,4,removal,add_only,True,1,1,False,INVARIANT
ex_1944,5,removal,removal,False,0,0,True,FLIP
ex_1944,6,add_only,add_only,False,0,0,False,INVARIANT
ex_1944,7,removal,removal,False,0,0,True,FLIP
ex_1958,1,removal,removal,False,0,0,False,INVARIANT
ex_1958,2,removal,removal,False,0,0,True,FLIP
ex_1958,3,removal,removal,False,0,0,True,FLIP
ex_1958,4,removal,removal,False,0,0,False,INVARIANT
ex_1958,5,add_only,add_only,False,0,0,False,INVARIANT
ex_1958,6,removal,removal,False,0,0,True,FLIP
ex_1958,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1973,1,removal,removal,False,0,0,True,FLIP
ex_1973,2,removal,removal,True,1,1,False,INVARIANT
ex_1973,3,removal,removal,False,0,0,False,INVARIANT
ex_1973,4,removal,removal,True,0,1,True,FLIP
ex_1973,5,add_only,add_only,False,0,0,False,INVARIANT
ex_1973,6,removal,removal,False,0,0,True,FLIP
ex_1973,7,add_only,add_only,False,0,0,False,INVARIANT
ex_198,1,removal,removal,False,0,0,False,INVARIANT
ex_198,2,removal,removal,False,0,0,True,FLIP
ex_198,3,removal,removal,True,1,0,True,FLIP
ex_198,4,removal,removal,False,0,0,False,INVARIANT
ex_198,5,removal,removal,False,0,0,True,FLIP
ex_198,6,removal,removal,False,0,0,True,FLIP
ex_198,7,removal,add_only,True,1,1,False,INVARIANT
ex_1990,1,removal,removal,False,0,0,True,FLIP
ex_1990,2,removal,removal,False,0,0,True,FLIP
ex_1990,3,removal,removal,False,0,0,True,FLIP
ex_1990,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1990,5,add_only,add_only,False,0,0,False,INVARIANT
ex_1990,6,removal,removal,False,0,0,True,FLIP
ex_1990,7,add_only,add_only,False,0,0,False,INVARIANT
ex_2031,1,removal,removal,False,0,0,True,FLIP
ex_2031,2,add_only,add_only,False,0,0,False,INVARIANT
ex_2031,3,removal,removal,False,0,0,True,FLIP
ex_2031,4,add_only,add_only,False,0,0,False,INVARIANT
ex_2031,5,removal,removal,True,2,1,False,INVARIANT
ex_2031,6,add_only,removal,True,0,0,True,FLIP
ex_2031,7,removal,removal,False,0,0,True,FLIP
ex_2047,1,add_only,add_only,False,0,0,False,INVARIANT
ex_2047,2,add_only,add_only,False,0,0,False,INVARIANT
ex_2047,3,add_only,add_only,False,0,0,False,INVARIANT
ex_2047,4,add_only,add_only,False,0,0,False,INVARIANT
ex_2047,5,removal,removal,False,0,0,True,FLIP
ex_2047,6,removal,removal,False,0,0,True,FLIP
ex_2047,7,removal,removal,False,0,0,True,FLIP
ex_205,1,removal,removal,False,0,0,True,FLIP
ex_205,2,removal,removal,False,0,0,True,FLIP
ex_205,3,removal,removal,False,0,0,False,INVARIANT
ex_205,4,removal,removal,False,0,0,True,FLIP
ex_205,5,removal,removal,False,0,0,True,FLIP
ex_205,6,add_only,add_only,False,0,0,False,INVARIANT
ex_205,7,removal,removal,True,1,0,True,FLIP
ex_208,1,removal,removal,True,0,1,False,INVARIANT
ex_208,2,removal,removal,False,0,0,True,FLIP
ex_208,3,removal,removal,False,0,0,True,FLIP
ex_208,4,add_only,add_only,False,0,0,False,INVARIANT
ex_208,5,removal,removal,False,0,0,True,FLIP
ex_208,6,removal,removal,False,0,0,True,FLIP
ex_208,7,removal,removal,False,0,0,False,INVARIANT
ex_2082,1,removal,removal,False,0,0,True,FLIP
ex_2082,2,removal,removal,False,0,0,False,INVARIANT
ex_2082,3,removal,removal,False,0,0,False,INVARIANT
ex_2082,4,removal,removal,False,0,0,True,FLIP
ex_2082,5,removal,removal,False,0,0,True,FLIP
ex_2082,6,removal,removal,True,0,1,False,INVARIANT
ex_2082,7,add_only,add_only,False,0,0,False,INVARIANT
ex_209,1,removal,add_only,True,1,1,False,INVARIANT
ex_209,2,removal,removal,False,0,0,True,FLIP
ex_209,3,removal,removal,False,0,0,True,FLIP
ex_209,4,add_only,add_only,False,0,0,False,INVARIANT
ex_209,5,add_only,add_only,False,0,0,False,INVARIANT
ex_209,6,add_only,add_only,False,0,0,False,INVARIANT
ex_209,7,removal,removal,True,1,0,True,FLIP
ex_212,1,removal,add_only,True,1,1,False,INVARIANT
ex_212,2,removal,removal,True,1,0,True,FLIP
ex_212,3,removal,add_only,True,1,1,False,INVARIANT
ex_212,4,removal,removal,False,0,0,True,FLIP
ex_212,5,removal,removal,True,1,0,True,FLIP
ex_212,6,removal,removal,True,0,1,True,FLIP
ex_212,7,removal,none,True,1,1,True,FLIP
ex_2134,1,add_only,add_only,False,0,0,False,INVARIANT
ex_2134,2,removal,removal,False,0,0,True,FLIP
ex_2134,3,removal,add_only,True,2,0,False,INVARIANT
ex_2134,4,removal,removal,False,0,0,True,FLIP
ex_2134,5,removal,removal,False,0,0,True,FLIP
ex_2134,6,removal,removal,False,0,0,False,INVARIANT
ex_2134,7,removal,removal,False,0,0,False,INVARIANT
ex_2143,1,removal,removal,False,0,0,True,FLIP
ex_2143,2,removal,removal,False,0,0,True,FLIP
ex_2143,3,removal,removal,False,0,0,True,FLIP
ex_2143,4,removal,removal,True,0,1,True,FLIP
ex_2143,5,add_only,add_only,False,0,0,False,INVARIANT
ex_2143,6,add_only,add_only,False,0,0,False,INVARIANT
