cohort,example_id,turn_index,transition,stored_gold,consistency_mace4,contradiction_prover9,q_prover9,negq_prover9,q_countermodel,negq_countermodel,rederived_gold,prev_q_prover9,prev_negq_prover9,verdict
comparator_add_flip,ex_3826,1,T→F,False,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,EXHAUSTED,TIMEOUT_MISLABEL
comparator_add_flip,ex_3949,5,F→T,True,EXHAUSTED,PROVED,PROVED,PROVED,EXHAUSTED,EXHAUSTED,INCONSISTENT,PROVED,PROVED,INCONSISTENT
comparator_add_flip,ex_443,1,F→T,True,EXHAUSTED,PROVED,PROVED,PROVED,EXHAUSTED,EXHAUSTED,INCONSISTENT,EXHAUSTED,PROVED,INCONSISTENT
comparator_add_flip,ex_802,6,T→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,EXHAUSTED,EXHAUSTED,CONSISTENT_GOLD_OK
comparator_add_flip,ex_813,3,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,EXHAUSTED,CONSISTENT_GOLD_OK
comparator_add_flip,prev_ex_114,6,F→T,True,EXHAUSTED,PROVED,PROVED,PROVED,EXHAUSTED,EXHAUSTED,INCONSISTENT,EXHAUSTED,PROVED,INCONSISTENT
comparator_add_flip,prev_ex_466,1,F→T,True,EXHAUSTED,PROVED,PROVED,PROVED,EXHAUSTED,EXHAUSTED,INCONSISTENT,EXHAUSTED,PROVED,INCONSISTENT
comparator_add_flip,prev_ex_467,2,T→F,False,EXHAUSTED,PROVED,PROVED,PROVED,EXHAUSTED,EXHAUSTED,INCONSISTENT,PROVED,EXHAUSTED,INCONSISTENT
u_to_f,ex_2712,1,U→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,EXHAUSTED,EXHAUSTED,CONSISTENT_GOLD_OK
pure_removal,ex_1010,6,T→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,EXHAUSTED,CONSISTENT_GOLD_OK
pure_removal,ex_1016,2,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_1016,6,F→T,True,MODEL,EXHAUSTED,EXHAUSTED,EXHAUSTED,MODEL,MODEL,Uncertain,EXHAUSTED,PROVED,TIMEOUT_MISLABEL
pure_removal,ex_1122,5,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_1471,6,F→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_1568,5,F→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_1646,4,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_1646,7,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_1732,7,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_183,6,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_1898,3,T→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_2082,6,T→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_2149,3,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_2315,6,T→F,False,ERROR,TIMEOUT,TIMEOUT,TIMEOUT,ERROR,ERROR,UNRESOLVED,TIMEOUT,TIMEOUT,UNRESOLVED_TIMEOUT
pure_removal,ex_2440,4,T→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,EXHAUSTED,CONSISTENT_GOLD_OK
pure_removal,ex_2461,6,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_2524,6,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_2538,5,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_2826,5,T→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,EXHAUSTED,CONSISTENT_GOLD_OK
pure_removal,ex_287,7,F→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_326,6,T→F,False,EXHAUSTED,PROVED,PROVED,PROVED,EXHAUSTED,EXHAUSTED,INCONSISTENT,PROVED,PROVED,INCONSISTENT
pure_removal,ex_3515,5,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_3518,7,F→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_3586,7,F→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_3627,2,F→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_3631,6,T→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,EXHAUSTED,CONSISTENT_GOLD_OK
pure_removal,ex_3667,5,T→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_3718,2,T→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_3724,4,F→T,True,EXHAUSTED,PROVED,PROVED,PROVED,EXHAUSTED,EXHAUSTED,INCONSISTENT,PROVED,PROVED,INCONSISTENT
pure_removal,ex_3724,6,T→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_3816,3,T→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_385,7,T→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,EXHAUSTED,CONSISTENT_GOLD_OK
pure_removal,ex_3903,4,T→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_3949,7,T→F,False,EXHAUSTED,PROVED,PROVED,PROVED,EXHAUSTED,EXHAUSTED,INCONSISTENT,PROVED,PROVED,INCONSISTENT
pure_removal,ex_3964,7,T→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,EXHAUSTED,CONSISTENT_GOLD_OK
pure_removal,ex_428,7,T→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,EXHAUSTED,CONSISTENT_GOLD_OK
pure_removal,ex_455,6,T→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_560,6,T→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,EXHAUSTED,CONSISTENT_GOLD_OK
pure_removal,ex_619,5,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_681,5,T→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_740,3,T→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_771,7,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_802,5,F→T,True,MODEL,EXHAUSTED,EXHAUSTED,EXHAUSTED,MODEL,MODEL,Uncertain,EXHAUSTED,PROVED,TIMEOUT_MISLABEL
pure_removal,ex_813,2,T→F,False,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,EXHAUSTED,TIMEOUT_MISLABEL
pure_removal,ex_907,3,F→T,True,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_916,4,F→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,EXHAUSTED,PROVED,CONSISTENT_GOLD_OK
pure_removal,ex_946,4,F→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,PROVED,CONSISTENT_GOLD_OK
pure_removal,prev_ex_368,2,T→F,False,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,PROVED,EXHAUSTED,CONSISTENT_GOLD_OK
