model_name,model_short,task_type,operation_type,accuracy,total_count,correct_count
anthropic/claude-sonnet-4,claude-sonnet-4,implicit_no_correction,Adding,0.9462242562929062,874,827
anthropic/claude-sonnet-4,claude-sonnet-4,implicit_no_correction,Mixed,0.9448017148981779,1866,1763
anthropic/claude-sonnet-4,claude-sonnet-4,implicit_no_correction,Other,0.6666666666666666,12,8
anthropic/claude-sonnet-4,claude-sonnet-4,implicit_no_correction,Removing,0.8958333333333334,48,43
anthropic/claude-sonnet-4,claude-sonnet-4,implicit_no_reasoning,Adding,0.954233409610984,874,834
anthropic/claude-sonnet-4,claude-sonnet-4,implicit_no_reasoning,Mixed,0.9297963558413719,1866,1735
anthropic/claude-sonnet-4,claude-sonnet-4,implicit_no_reasoning,Other,0.75,12,9
anthropic/claude-sonnet-4,claude-sonnet-4,implicit_no_reasoning,Removing,0.9166666666666666,48,44
anthropic/claude-sonnet-4,claude-sonnet-4,implicit_no_reasoning_no_correction,Adding,0.9164759725400458,874,801
anthropic/claude-sonnet-4,claude-sonnet-4,implicit_no_reasoning_no_correction,Mixed,0.9287245444801715,1866,1733
anthropic/claude-sonnet-4,claude-sonnet-4,implicit_no_reasoning_no_correction,Other,0.6666666666666666,12,8
anthropic/claude-sonnet-4,claude-sonnet-4,implicit_no_reasoning_no_correction,Removing,0.8541666666666666,48,41
google/gemini-2.5-flash,gemini-2.5-flash,explicit,Adding,0.7459954233409611,874,652
google/gemini-2.5-flash,gemini-2.5-flash,explicit,Mixed,0.789924973204716,1866,1474
google/gemini-2.5-flash,gemini-2.5-flash,explicit,Other,0.16666666666666666,12,2
google/gemini-2.5-flash,gemini-2.5-flash,explicit,Removing,0.4166666666666667,48,20
google/gemini-2.5-flash,gemini-2.5-flash,explicit_no_correction,Adding,0.7014925373134329,871,611
google/gemini-2.5-flash,gemini-2.5-flash,explicit_no_correction,Mixed,0.7622114868491681,1863,1420
google/gemini-2.5-flash,gemini-2.5-flash,explicit_no_correction,Other,0.0,12,0
google/gemini-2.5-flash,gemini-2.5-flash,explicit_no_correction,Removing,0.2765957446808511,47,13
google/gemini-2.5-flash,gemini-2.5-flash,explicit_no_reasoning,Adding,0.7608695652173914,874,665
google/gemini-2.5-flash,gemini-2.5-flash,explicit_no_reasoning,Mixed,0.789924973204716,1866,1474
google/gemini-2.5-flash,gemini-2.5-flash,explicit_no_reasoning,Other,0.08333333333333333,12,1
google/gemini-2.5-flash,gemini-2.5-flash,explicit_no_reasoning,Removing,0.3958333333333333,48,19
google/gemini-2.5-flash,gemini-2.5-flash,explicit_no_reasoning_no_correction,Adding,0.6933638443935927,874,606
google/gemini-2.5-flash,gemini-2.5-flash,explicit_no_reasoning_no_correction,Mixed,0.7679528403001071,1866,1433
google/gemini-2.5-flash,gemini-2.5-flash,explicit_no_reasoning_no_correction,Other,0.16666666666666666,12,2
google/gemini-2.5-flash,gemini-2.5-flash,explicit_no_reasoning_no_correction,Removing,0.3541666666666667,48,17
google/gemini-2.5-flash,gemini-2.5-flash,implicit,Adding,0.9462242562929062,874,827
google/gemini-2.5-flash,gemini-2.5-flash,implicit,Mixed,0.9303322615219721,1866,1736
google/gemini-2.5-flash,gemini-2.5-flash,implicit,Other,0.75,12,9
google/gemini-2.5-flash,gemini-2.5-flash,implicit,Removing,0.8333333333333334,48,40
google/gemini-2.5-flash,gemini-2.5-flash,implicit_no_correction,Adding,0.9553775743707094,874,835
google/gemini-2.5-flash,gemini-2.5-flash,implicit_no_correction,Mixed,0.932475884244373,1866,1740
google/gemini-2.5-flash,gemini-2.5-flash,implicit_no_correction,Other,0.6666666666666666,12,8
google/gemini-2.5-flash,gemini-2.5-flash,implicit_no_correction,Removing,0.8125,48,39
google/gemini-2.5-flash,gemini-2.5-flash,implicit_no_reasoning,Adding,0.971395881006865,874,849
google/gemini-2.5-flash,gemini-2.5-flash,implicit_no_reasoning,Mixed,0.9196141479099679,1866,1716
google/gemini-2.5-flash,gemini-2.5-flash,implicit_no_reasoning,Other,0.75,12,9
google/gemini-2.5-flash,gemini-2.5-flash,implicit_no_reasoning,Removing,0.875,48,42
google/gemini-2.5-flash,gemini-2.5-flash,implicit_no_reasoning_no_correction,Adding,0.9159953970080552,869,796
google/gemini-2.5-flash,gemini-2.5-flash,implicit_no_reasoning_no_correction,Mixed,0.9114806866952789,1864,1699
google/gemini-2.5-flash,gemini-2.5-flash,implicit_no_reasoning_no_correction,Other,0.75,12,9
google/gemini-2.5-flash,gemini-2.5-flash,implicit_no_reasoning_no_correction,Removing,0.8541666666666666,48,41
google/gemini-2.5-pro,gemini-2.5-pro,explicit,Adding,0.8821510297482837,874,771
google/gemini-2.5-pro,gemini-2.5-pro,explicit,Mixed,0.8906752411575563,1866,1662
google/gemini-2.5-pro,gemini-2.5-pro,explicit,Other,0.25,12,3
google/gemini-2.5-pro,gemini-2.5-pro,explicit,Removing,0.3541666666666667,48,17
google/gemini-2.5-pro,gemini-2.5-pro,explicit_no_correction,Adding,0.8352402745995423,874,730
google/gemini-2.5-pro,gemini-2.5-pro,explicit_no_correction,Mixed,0.8665594855305466,1866,1617
google/gemini-2.5-pro,gemini-2.5-pro,explicit_no_correction,Other,0.0,12,0
google/gemini-2.5-pro,gemini-2.5-pro,explicit_no_correction,Removing,0.3541666666666667,48,17
google/gemini-2.5-pro,gemini-2.5-pro,explicit_no_reasoning,Adding,0.8913043478260869,874,779
google/gemini-2.5-pro,gemini-2.5-pro,explicit_no_reasoning,Mixed,0.8928188638799571,1866,1666
google/gemini-2.5-pro,gemini-2.5-pro,explicit_no_reasoning,Other,0.4166666666666667,12,5
google/gemini-2.5-pro,gemini-2.5-pro,explicit_no_reasoning,Removing,0.375,48,18
google/gemini-2.5-pro,gemini-2.5-pro,explicit_no_reasoning_no_correction,Adding,0.8638443935926774,874,755
google/gemini-2.5-pro,gemini-2.5-pro,explicit_no_reasoning_no_correction,Mixed,0.8837084673097535,1866,1649
google/gemini-2.5-pro,gemini-2.5-pro,explicit_no_reasoning_no_correction,Other,0.08333333333333333,12,1
google/gemini-2.5-pro,gemini-2.5-pro,explicit_no_reasoning_no_correction,Removing,0.3541666666666667,48,17
google/gemini-2.5-pro,gemini-2.5-pro,implicit,Adding,0.9794050343249427,874,856
google/gemini-2.5-pro,gemini-2.5-pro,implicit,Mixed,0.9678456591639871,1866,1806
google/gemini-2.5-pro,gemini-2.5-pro,implicit,Other,0.75,12,9
google/gemini-2.5-pro,gemini-2.5-pro,implicit,Removing,0.8541666666666666,48,41
google/gemini-2.5-pro,gemini-2.5-pro,implicit_no_correction,Adding,0.9668192219679634,874,845
google/gemini-2.5-pro,gemini-2.5-pro,implicit_no_correction,Mixed,0.9715969989281886,1866,1813
google/gemini-2.5-pro,gemini-2.5-pro,implicit_no_correction,Other,0.75,12,9
google/gemini-2.5-pro,gemini-2.5-pro,implicit_no_correction,Removing,0.8541666666666666,48,41
google/gemini-2.5-pro,gemini-2.5-pro,implicit_no_reasoning,Adding,0.9725400457665904,874,850
google/gemini-2.5-pro,gemini-2.5-pro,implicit_no_reasoning,Mixed,0.9657020364415863,1866,1802
google/gemini-2.5-pro,gemini-2.5-pro,implicit_no_reasoning,Other,0.6666666666666666,12,8
google/gemini-2.5-pro,gemini-2.5-pro,implicit_no_reasoning,Removing,0.8541666666666666,48,41
google/gemini-2.5-pro,gemini-2.5-pro,implicit_no_reasoning_no_correction,Adding,0.9645308924485125,874,843
google/gemini-2.5-pro,gemini-2.5-pro,implicit_no_reasoning_no_correction,Mixed,0.9667738478027867,1866,1804
google/gemini-2.5-pro,gemini-2.5-pro,implicit_no_reasoning_no_correction,Other,0.75,12,9
google/gemini-2.5-pro,gemini-2.5-pro,implicit_no_reasoning_no_correction,Removing,0.875,48,42
google/gemma-3-12b-it,gemma-3-12b-it,explicit,Adding,0.5949656750572082,874,520
google/gemma-3-12b-it,gemma-3-12b-it,explicit,Mixed,0.5584137191854234,1866,1042
google/gemma-3-12b-it,gemma-3-12b-it,explicit,Other,0.4166666666666667,12,5
google/gemma-3-12b-it,gemma-3-12b-it,explicit,Removing,0.2708333333333333,48,13
google/gemma-3-12b-it,gemma-3-12b-it,explicit_no_correction,Adding,0.528604118993135,874,462
google/gemma-3-12b-it,gemma-3-12b-it,explicit_no_correction,Mixed,0.5251875669882101,1866,980
google/gemma-3-12b-it,gemma-3-12b-it,explicit_no_correction,Other,0.08333333333333333,12,1
google/gemma-3-12b-it,gemma-3-12b-it,explicit_no_correction,Removing,0.08333333333333333,48,4
google/gemma-3-12b-it,gemma-3-12b-it,explicit_no_reasoning,Adding,0.5503432494279176,874,481
google/gemma-3-12b-it,gemma-3-12b-it,explicit_no_reasoning,Mixed,0.5,1866,933
google/gemma-3-12b-it,gemma-3-12b-it,explicit_no_reasoning,Other,0.25,12,3
google/gemma-3-12b-it,gemma-3-12b-it,explicit_no_reasoning,Removing,0.10416666666666667,48,5
google/gemma-3-12b-it,gemma-3-12b-it,explicit_no_reasoning_no_correction,Adding,0.4679633867276888,874,409
google/gemma-3-12b-it,gemma-3-12b-it,explicit_no_reasoning_no_correction,Mixed,0.47856377277599144,1866,893
google/gemma-3-12b-it,gemma-3-12b-it,explicit_no_reasoning_no_correction,Other,0.16666666666666666,12,2
google/gemma-3-12b-it,gemma-3-12b-it,explicit_no_reasoning_no_correction,Removing,0.125,48,6
google/gemma-3-12b-it,gemma-3-12b-it,implicit,Adding,0.879862700228833,874,769
google/gemma-3-12b-it,gemma-3-12b-it,implicit,Mixed,0.8097534833869239,1866,1511
google/gemma-3-12b-it,gemma-3-12b-it,implicit,Other,0.5,12,6
google/gemma-3-12b-it,gemma-3-12b-it,implicit,Removing,0.75,48,36
google/gemma-3-12b-it,gemma-3-12b-it,implicit_no_correction,Adding,0.8215102974828375,874,718
google/gemma-3-12b-it,gemma-3-12b-it,implicit_no_correction,Mixed,0.7984994640943194,1866,1490
google/gemma-3-12b-it,gemma-3-12b-it,implicit_no_correction,Other,0.5,12,6
google/gemma-3-12b-it,gemma-3-12b-it,implicit_no_correction,Removing,0.6666666666666666,48,32
google/gemma-3-12b-it,gemma-3-12b-it,implicit_no_reasoning,Adding,0.8478260869565217,874,741
google/gemma-3-12b-it,gemma-3-12b-it,implicit_no_reasoning,Mixed,0.7931404072883173,1866,1480
google/gemma-3-12b-it,gemma-3-12b-it,implicit_no_reasoning,Other,0.5833333333333334,12,7
google/gemma-3-12b-it,gemma-3-12b-it,implicit_no_reasoning,Removing,0.7083333333333334,48,34
google/gemma-3-12b-it,gemma-3-12b-it,implicit_no_reasoning_no_correction,Adding,0.8157894736842105,874,713
google/gemma-3-12b-it,gemma-3-12b-it,implicit_no_reasoning_no_correction,Mixed,0.7931404072883173,1866,1480
google/gemma-3-12b-it,gemma-3-12b-it,implicit_no_reasoning_no_correction,Other,0.75,12,9
google/gemma-3-12b-it,gemma-3-12b-it,implicit_no_reasoning_no_correction,Removing,0.7291666666666666,48,35
google/gemma-3-27b-it,gemma-3-27b-it,explicit,Adding,0.6590389016018307,874,576
google/gemma-3-27b-it,gemma-3-27b-it,explicit,Mixed,0.6704180064308681,1866,1251
google/gemma-3-27b-it,gemma-3-27b-it,explicit,Other,0.3333333333333333,12,4
google/gemma-3-27b-it,gemma-3-27b-it,explicit,Removing,0.4166666666666667,48,20
google/gemma-3-27b-it,gemma-3-27b-it,explicit_no_correction,Adding,0.6167048054919908,874,539
google/gemma-3-27b-it,gemma-3-27b-it,explicit_no_correction,Mixed,0.6371918542336549,1866,1189
google/gemma-3-27b-it,gemma-3-27b-it,explicit_no_correction,Other,0.0,12,0
google/gemma-3-27b-it,gemma-3-27b-it,explicit_no_correction,Removing,0.22916666666666666,48,11
google/gemma-3-27b-it,gemma-3-27b-it,explicit_no_reasoning,Adding,0.6727688787185355,874,588
google/gemma-3-27b-it,gemma-3-27b-it,explicit_no_reasoning,Mixed,0.6596998928188639,1866,1231
google/gemma-3-27b-it,gemma-3-27b-it,explicit_no_reasoning,Other,0.25,12,3
google/gemma-3-27b-it,gemma-3-27b-it,explicit_no_reasoning,Removing,0.3125,48,15
google/gemma-3-27b-it,gemma-3-27b-it,explicit_no_reasoning_no_correction,Adding,0.5835240274599542,874,510
google/gemma-3-27b-it,gemma-3-27b-it,explicit_no_reasoning_no_correction,Mixed,0.639871382636656,1866,1194
google/gemma-3-27b-it,gemma-3-27b-it,explicit_no_reasoning_no_correction,Other,0.0,12,0
google/gemma-3-27b-it,gemma-3-27b-it,explicit_no_reasoning_no_correction,Removing,0.25,48,12
google/gemma-3-27b-it,gemma-3-27b-it,implicit,Adding,0.9084668192219679,874,794
google/gemma-3-27b-it,gemma-3-27b-it,implicit,Mixed,0.8403001071811361,1866,1568
google/gemma-3-27b-it,gemma-3-27b-it,implicit,Other,0.6666666666666666,12,8
google/gemma-3-27b-it,gemma-3-27b-it,implicit,Removing,0.75,48,36
google/gemma-3-27b-it,gemma-3-27b-it,implicit_no_correction,Adding,0.8329519450800915,874,728
google/gemma-3-27b-it,gemma-3-27b-it,implicit_no_correction,Mixed,0.8306538049303323,1866,1550
google/gemma-3-27b-it,gemma-3-27b-it,implicit_no_correction,Other,0.6666666666666666,12,8
google/gemma-3-27b-it,gemma-3-27b-it,implicit_no_correction,Removing,0.7291666666666666,48,35
google/gemma-3-27b-it,gemma-3-27b-it,implicit_no_reasoning,Adding,0.902745995423341,874,789
google/gemma-3-27b-it,gemma-3-27b-it,implicit_no_reasoning,Mixed,0.8193997856377278,1866,1529
google/gemma-3-27b-it,gemma-3-27b-it,implicit_no_reasoning,Other,0.6666666666666666,12,8
google/gemma-3-27b-it,gemma-3-27b-it,implicit_no_reasoning,Removing,0.7916666666666666,48,38
google/gemma-3-27b-it,gemma-3-27b-it,implicit_no_reasoning_no_correction,Adding,0.8306636155606407,874,726
google/gemma-3-27b-it,gemma-3-27b-it,implicit_no_reasoning_no_correction,Mixed,0.8263665594855305,1866,1542
google/gemma-3-27b-it,gemma-3-27b-it,implicit_no_reasoning_no_correction,Other,0.5,12,6
google/gemma-3-27b-it,gemma-3-27b-it,implicit_no_reasoning_no_correction,Removing,0.7708333333333334,48,37
google/gemma-3-4b-it,gemma-3-4b-it,explicit,Adding,0.545766590389016,874,477
google/gemma-3-4b-it,gemma-3-4b-it,explicit,Mixed,0.5353697749196141,1866,999
google/gemma-3-4b-it,gemma-3-4b-it,explicit,Other,0.16666666666666666,12,2
google/gemma-3-4b-it,gemma-3-4b-it,explicit,Removing,0.14583333333333334,48,7
google/gemma-3-4b-it,gemma-3-4b-it,explicit_no_correction,Adding,0.4576659038901602,874,400
google/gemma-3-4b-it,gemma-3-4b-it,explicit_no_correction,Mixed,0.5139335476956056,1866,959
google/gemma-3-4b-it,gemma-3-4b-it,explicit_no_correction,Other,0.08333333333333333,12,1
google/gemma-3-4b-it,gemma-3-4b-it,explicit_no_correction,Removing,0.08333333333333333,48,4
google/gemma-3-4b-it,gemma-3-4b-it,explicit_no_reasoning,Adding,0.5297482837528604,874,463
google/gemma-3-4b-it,gemma-3-4b-it,explicit_no_reasoning,Mixed,0.4978563772775991,1866,929
google/gemma-3-4b-it,gemma-3-4b-it,explicit_no_reasoning,Other,0.4166666666666667,12,5
google/gemma-3-4b-it,gemma-3-4b-it,explicit_no_reasoning,Removing,0.1875,48,9
google/gemma-3-4b-it,gemma-3-4b-it,explicit_no_reasoning_no_correction,Adding,0.4244851258581236,874,371
google/gemma-3-4b-it,gemma-3-4b-it,explicit_no_reasoning_no_correction,Mixed,0.4571275455519829,1866,853
google/gemma-3-4b-it,gemma-3-4b-it,explicit_no_reasoning_no_correction,Other,0.16666666666666666,12,2
google/gemma-3-4b-it,gemma-3-4b-it,explicit_no_reasoning_no_correction,Removing,0.020833333333333332,48,1
google/gemma-3-4b-it,gemma-3-4b-it,implicit,Adding,0.6498855835240275,874,568
google/gemma-3-4b-it,gemma-3-4b-it,implicit,Mixed,0.5953912111468381,1866,1111
google/gemma-3-4b-it,gemma-3-4b-it,implicit,Other,0.3333333333333333,12,4
google/gemma-3-4b-it,gemma-3-4b-it,implicit,Removing,0.5,48,24
google/gemma-3-4b-it,gemma-3-4b-it,implicit_no_correction,Adding,0.6189931350114416,874,541
google/gemma-3-4b-it,gemma-3-4b-it,implicit_no_correction,Mixed,0.594855305466238,1866,1110
google/gemma-3-4b-it,gemma-3-4b-it,implicit_no_correction,Other,0.3333333333333333,12,4
google/gemma-3-4b-it,gemma-3-4b-it,implicit_no_correction,Removing,0.6041666666666666,48,29
google/gemma-3-4b-it,gemma-3-4b-it,implicit_no_reasoning,Adding,0.7322654462242563,874,640
google/gemma-3-4b-it,gemma-3-4b-it,implicit_no_reasoning,Mixed,0.6527331189710611,1866,1218
google/gemma-3-4b-it,gemma-3-4b-it,implicit_no_reasoning,Other,0.5,12,6
google/gemma-3-4b-it,gemma-3-4b-it,implicit_no_reasoning,Removing,0.5416666666666666,48,26
google/gemma-3-4b-it,gemma-3-4b-it,implicit_no_reasoning_no_correction,Adding,0.6842105263157895,874,598
google/gemma-3-4b-it,gemma-3-4b-it,implicit_no_reasoning_no_correction,Mixed,0.6564844587352626,1866,1225
google/gemma-3-4b-it,gemma-3-4b-it,implicit_no_reasoning_no_correction,Other,0.5,12,6
google/gemma-3-4b-it,gemma-3-4b-it,implicit_no_reasoning_no_correction,Removing,0.5833333333333334,48,28
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit,Adding,0.6121281464530892,874,535
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit,Mixed,0.6093247588424437,1866,1137
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit,Other,0.25,12,3
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit,Removing,0.16666666666666666,48,8
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit_no_correction,Adding,0.4748283752860412,874,415
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit_no_correction,Mixed,0.5712754555198285,1866,1066
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit_no_correction,Other,0.08333333333333333,12,1
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit_no_correction,Removing,0.14583333333333334,48,7
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit_no_reasoning,Adding,0.585812356979405,874,512
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit_no_reasoning,Mixed,0.5546623794212219,1866,1035
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit_no_reasoning,Other,0.5,12,6
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit_no_reasoning,Removing,0.20833333333333334,48,10
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit_no_reasoning_no_correction,Adding,0.41990846681922195,874,367
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit_no_reasoning_no_correction,Mixed,0.4796355841371919,1866,895
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit_no_reasoning_no_correction,Other,0.25,12,3
moonshotai/kimi-k2-0905,kimi-k2-0905,explicit_no_reasoning_no_correction,Removing,0.125,48,6
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit,Adding,0.9118993135011442,874,797
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit,Mixed,0.8569131832797428,1866,1599
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit,Other,0.6666666666666666,12,8
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit,Removing,0.8125,48,39
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit_no_correction,Adding,0.8913043478260869,874,779
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit_no_correction,Mixed,0.8697749196141479,1866,1623
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit_no_correction,Other,0.5833333333333334,12,7
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit_no_correction,Removing,0.7291666666666666,48,35
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit_no_reasoning,Adding,0.9073226544622426,874,793
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit_no_reasoning,Mixed,0.8370846730975349,1866,1562
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit_no_reasoning,Other,0.6666666666666666,12,8
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit_no_reasoning,Removing,0.7916666666666666,48,38
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit_no_reasoning_no_correction,Adding,0.8546910755148741,874,747
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit_no_reasoning_no_correction,Mixed,0.8333333333333334,1866,1555
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit_no_reasoning_no_correction,Other,0.5833333333333334,12,7
moonshotai/kimi-k2-0905,kimi-k2-0905,implicit_no_reasoning_no_correction,Removing,0.7083333333333334,48,34
openai/gpt-4.1-mini,gpt-4.1-mini,explicit,Adding,0.7093821510297483,874,620
openai/gpt-4.1-mini,gpt-4.1-mini,explicit,Mixed,0.6602357984994641,1866,1232
openai/gpt-4.1-mini,gpt-4.1-mini,explicit,Other,0.25,12,3
openai/gpt-4.1-mini,gpt-4.1-mini,explicit,Removing,0.20833333333333334,48,10
openai/gpt-4.1-mini,gpt-4.1-mini,explicit_no_correction,Adding,0.5423340961098398,874,474
openai/gpt-4.1-mini,gpt-4.1-mini,explicit_no_correction,Mixed,0.5969989281886388,1866,1114
openai/gpt-4.1-mini,gpt-4.1-mini,explicit_no_correction,Other,0.0,12,0
openai/gpt-4.1-mini,gpt-4.1-mini,explicit_no_correction,Removing,0.1875,48,9
openai/gpt-4.1-mini,gpt-4.1-mini,explicit_no_reasoning,Adding,0.7059496567505721,874,617
openai/gpt-4.1-mini,gpt-4.1-mini,explicit_no_reasoning,Mixed,0.6409431939978564,1866,1196
openai/gpt-4.1-mini,gpt-4.1-mini,explicit_no_reasoning,Other,0.4166666666666667,12,5
openai/gpt-4.1-mini,gpt-4.1-mini,explicit_no_reasoning,Removing,0.2708333333333333,48,13
openai/gpt-4.1-mini,gpt-4.1-mini,explicit_no_reasoning_no_correction,Adding,0.5331807780320366,874,466
openai/gpt-4.1-mini,gpt-4.1-mini,explicit_no_reasoning_no_correction,Mixed,0.6039657020364416,1866,1127
openai/gpt-4.1-mini,gpt-4.1-mini,explicit_no_reasoning_no_correction,Other,0.0,12,0
openai/gpt-4.1-mini,gpt-4.1-mini,explicit_no_reasoning_no_correction,Removing,0.125,48,6
openai/gpt-4.1-mini,gpt-4.1-mini,implicit,Adding,0.9473684210526315,874,828
openai/gpt-4.1-mini,gpt-4.1-mini,implicit,Mixed,0.8628081457663451,1866,1610
openai/gpt-4.1-mini,gpt-4.1-mini,implicit,Other,0.8333333333333334,12,10
openai/gpt-4.1-mini,gpt-4.1-mini,implicit,Removing,0.8333333333333334,48,40
openai/gpt-4.1-mini,gpt-4.1-mini,implicit_no_correction,Adding,0.9038901601830663,874,790
openai/gpt-4.1-mini,gpt-4.1-mini,implicit_no_correction,Mixed,0.8735262593783494,1866,1630
openai/gpt-4.1-mini,gpt-4.1-mini,implicit_no_correction,Other,0.6666666666666666,12,8
openai/gpt-4.1-mini,gpt-4.1-mini,implicit_no_correction,Removing,0.7916666666666666,48,38
openai/gpt-4.1-mini,gpt-4.1-mini,implicit_no_reasoning,Adding,0.9096109839816934,874,795
openai/gpt-4.1-mini,gpt-4.1-mini,implicit_no_reasoning,Mixed,0.852625937834941,1866,1591
openai/gpt-4.1-mini,gpt-4.1-mini,implicit_no_reasoning,Other,0.75,12,9
openai/gpt-4.1-mini,gpt-4.1-mini,implicit_no_reasoning,Removing,0.7291666666666666,48,35
openai/gpt-4.1-mini,gpt-4.1-mini,implicit_no_reasoning_no_correction,Adding,0.879862700228833,874,769
openai/gpt-4.1-mini,gpt-4.1-mini,implicit_no_reasoning_no_correction,Mixed,0.8494105037513398,1866,1585
openai/gpt-4.1-mini,gpt-4.1-mini,implicit_no_reasoning_no_correction,Other,0.8333333333333334,12,10
openai/gpt-4.1-mini,gpt-4.1-mini,implicit_no_reasoning_no_correction,Removing,0.8125,48,39
openai/gpt-5-nano,gpt-5-nano,explicit,Adding,0.2334096109839817,874,204
openai/gpt-5-nano,gpt-5-nano,explicit,Mixed,0.19667738478027866,1866,367
openai/gpt-5-nano,gpt-5-nano,explicit,Other,0.0,12,0
openai/gpt-5-nano,gpt-5-nano,explicit,Removing,0.0,48,0
openai/gpt-5-nano,gpt-5-nano,explicit_no_correction,Adding,0.18993135011441648,874,166
openai/gpt-5-nano,gpt-5-nano,explicit_no_correction,Mixed,0.17845659163987138,1866,333
openai/gpt-5-nano,gpt-5-nano,explicit_no_correction,Other,0.0,12,0
openai/gpt-5-nano,gpt-5-nano,explicit_no_correction,Removing,0.020833333333333332,48,1
openai/gpt-5-nano,gpt-5-nano,explicit_no_reasoning,Adding,0.2128146453089245,874,186
openai/gpt-5-nano,gpt-5-nano,explicit_no_reasoning,Mixed,0.1864951768488746,1866,348
openai/gpt-5-nano,gpt-5-nano,explicit_no_reasoning,Other,0.0,12,0
openai/gpt-5-nano,gpt-5-nano,explicit_no_reasoning,Removing,0.0,48,0
openai/gpt-5-nano,gpt-5-nano,explicit_no_reasoning_no_correction,Adding,0.1956521739130435,874,171
openai/gpt-5-nano,gpt-5-nano,explicit_no_reasoning_no_correction,Mixed,0.1720257234726688,1866,321
openai/gpt-5-nano,gpt-5-nano,explicit_no_reasoning_no_correction,Other,0.0,12,0
openai/gpt-5-nano,gpt-5-nano,explicit_no_reasoning_no_correction,Removing,0.0,48,0
openai/gpt-5-nano,gpt-5-nano,implicit,Adding,0.8627002288329519,874,754
openai/gpt-5-nano,gpt-5-nano,implicit,Mixed,0.8204715969989282,1866,1531
openai/gpt-5-nano,gpt-5-nano,implicit,Other,0.6666666666666666,12,8
